,DATE & TIME,SEQ_NO,DEPTH(m.DL),TEMP(deg),Chl-a(ug/l),SAL(psu),SS(mg/l),DO(%),DO(mg/l),BOTTOM(m),YEAR
671,2014/02/02 18:00:00,13,-9.97,9.81,6.3,32.19,7.29,87.6,8.09,12.0,2014
17295,2014/03/30 15:00:00,13,-9.97,12.71,12.7,31.13,8.58,123.0,10.73,12.1,2014
17309,2014/03/30 16:00:00,13,-9.97,12.73,12.7,31.1,8.92,122.7,10.7,12.4,2014
17323,2014/03/30 17:00:00,13,-9.97,12.76,13.3,31.1,12.77,122.2,10.65,12.4,2014
17337,2014/03/30 18:00:00,13,-9.97,12.78,13.1,31.11,11.33,119.8,10.43,12.0,2014
17463,2014/03/31 04:00:00,13,-9.97,13.0,14.6,31.01,10.11,114.6,9.94,12.0,2014
17477,2014/03/31 05:00:00,13,-9.97,13.08,14.7,30.96,10.32,113.0,9.8,12.1,2014
30196,2014/05/15 18:00:00,13,-9.97,17.41,6.1,31.7,10.58,59.1,4.67,12.1,2014
30325,2014/05/16 04:00:00,13,-9.97,17.26,4.1,31.8,9.9,58.4,4.63,12.0,2014
30339,2014/05/16 05:00:00,13,-9.97,17.28,4.7,31.64,9.34,60.8,4.82,12.1,2014
38749,2014/06/13 04:00:00,13,-9.97,17.62,1.1,33.65,8.18,8.0,0.62,12.0,2014
38925,2014/06/13 18:00:00,13,-9.97,20.09,21.8,29.63,8.18,93.4,7.1,12.1,2014
48063,2014/07/14 05:00:00,13,-9.97,20.37,1.2,31.39,5.46,23.4,1.75,12.0,2014
56351,2014/08/10 17:00:00,13,-9.97,24.27,2.6,31.81,9.6,60.0,4.18,12.1,2014
56365,2014/08/10 18:00:00,13,-9.97,24.24,3.0,32.01,10.44,62.0,4.31,12.1,2014
56379,2014/08/10 19:00:00,13,-9.97,24.0,2.6,32.1,11.21,54.7,3.82,12.1,2014
56483,2014/08/11 03:00:00,13,-9.97,26.32,7.8,29.19,12.1,85.1,5.81,12.1,2014
56497,2014/08/11 04:00:00,13,-9.97,26.37,7.1,29.06,11.89,87.2,5.95,12.1,2014
56661,2014/08/11 17:00:00,13,-9.97,26.71,10.1,28.2,15.95,93.7,6.39,12.1,2014
56814,2014/08/12 05:00:00,13,-9.97,26.68,10.0,28.22,4.43,83.3,5.68,12.2,2014
65236,2014/09/09 04:00:00,13,-9.97,21.72,0.5,32.97,6.22,55.1,3.99,12.0,2014
65551,2014/09/10 05:00:00,13,-9.97,22.04,0.5,33.25,6.15,56.7,4.08,12.1,2014
65565,2014/09/10 06:00:00,13,-9.97,22.24,0.5,33.14,6.17,59.8,4.28,12.0,2014
65717,2014/09/10 18:00:00,13,-9.97,22.13,0.6,32.9,6.62,41.9,3.01,12.1,2014
65869,2014/09/11 06:00:00,13,-9.97,22.64,0.7,32.83,5.54,63.7,4.54,12.0,2014
70094,2014/09/25 05:00:00,13,-9.97,22.87,3.1,31.98,7.76,42.1,3.0,12.0,2014
70108,2014/09/25 06:00:00,13,-9.97,22.64,2.4,32.28,9.12,23.8,1.7,12.0,2014
70247,2014/09/25 17:00:00,13,-9.97,22.73,7.7,30.74,14.11,82.5,5.94,12.0,2014
73538,2014/10/06 16:00:00,13,-9.97,21.31,1.5,32.77,11.55,41.2,3.01,12.0,2014
75712,2014/10/14 09:00:00,13,-9.97,21.73,1.2,31.93,9.16,51.6,3.76,12.0,2014
105659,2015/01/22 17:00:00,13,-9.97,10.19,18.6,32.2,7.29,80.8,7.39,12.1,2015
113720,2015/02/18 16:00:00,13,-9.97,9.29,8.7,32.05,2.54,98.3,9.18,12.0,2015
123247,2015/03/22 18:00:00,13,-9.97,11.31,5.6,32.74,8.13,73.5,6.54,12.0,2015
138441,2015/05/13 00:00:00,13,-9.97,18.8,24.2,29.24,41.1,118.8,9.28,12.0,2015
166741,2015/08/15 17:00:00,13,-9.97,21.78,1.4,32.4,8.79,1.9,0.14,12.1,2015
166755,2015/08/15 18:00:00,13,-9.97,22.27,1.5,32.25,6.6,1.9,0.14,12.1,2015
171009,2015/08/29 17:00:00,13,-9.97,22.51,1.7,33.32,45.68,43.4,3.09,12.0,2015
171023,2015/08/29 18:00:00,13,-9.97,22.61,0.7,33.34,2.35,49.6,3.53,12.0,2015
172079,2015/09/02 06:00:00,13,-9.97,22.81,2.5,32.04,1.79,60.8,4.34,12.0,2015
172093,2015/09/02 07:00:00,13,-9.97,22.85,2.1,32.35,4.66,35.1,2.5,12.0,2015
181014,2015/10/01 18:00:00,13,-9.97,22.64,10.1,31.81,2.21,62.6,4.49,12.0,2015
181179,2015/10/02 07:00:00,13,-9.97,22.39,14.3,30.7,13.66,117.1,8.48,12.1,2015
184036,2015/10/11 17:00:00,13,-9.97,20.42,3.4,30.73,1.46,129.4,9.72,12.0,2015
188832,2015/10/27 16:00:00,13,-9.97,19.09,4.5,32.05,1.82,125.2,9.56,12.1,2015
188846,2015/10/27 17:00:00,13,-9.97,19.17,5.2,31.98,2.08,127.7,9.75,12.2,2015
189147,2015/10/28 17:00:00,13,-9.97,19.21,3.2,32.04,1.99,120.0,9.15,12.0,2015
189447,2015/10/29 17:00:00,13,-9.97,19.3,3.2,32.09,2.16,114.8,8.73,12.0,2015
197708,2015/11/26 06:00:00,13,-9.97,17.74,1.3,32.89,2.45,99.2,7.74,12.0,2015
197837,2015/11/26 16:00:00,13,-9.97,17.48,1.3,32.79,2.05,106.7,8.37,12.1,2015
197851,2015/11/26 17:00:00,13,-9.97,17.49,1.5,32.81,1.94,106.3,8.34,12.1,2015
198015,2015/11/27 06:00:00,13,-9.97,17.0,1.4,32.72,8.34,112.7,8.92,12.3,2015
198029,2015/11/27 07:00:00,13,-9.97,16.74,1.2,32.6,4.34,115.3,9.19,12.1,2015
