,DATE & TIME,SEQ_NO,DEPTH(m.DL),TEMP(deg),Chl-a(ug/l),SAL(psu),SS(mg/l),DO(%),DO(mg/l),BOTTOM(m),YEAR
5,2014/01/31 13:00:00,5,-3.87,10.3,3.4,31.98,1.52,120.3,11.0,11.1,2014
18,2014/01/31 14:00:00,5,-3.77,10.55,3.5,31.96,1.57,119.9,10.9,11.2,2014
31,2014/01/31 15:00:00,5,-3.47,9.97,3.3,32.01,1.34,101.2,9.32,11.5,2014
44,2014/01/31 16:00:00,5,-3.17,10.64,3.7,31.96,1.54,106.1,9.62,11.8,2014
57,2014/01/31 17:00:00,5,-3.17,9.9,4.1,31.98,1.48,103.1,9.51,11.8,2014
70,2014/01/31 18:00:00,5,-3.27,10.02,4.1,31.93,1.63,103.4,9.51,11.7,2014
83,2014/01/31 19:00:00,5,-3.57,10.54,3.9,31.91,1.65,104.7,9.52,11.4,2014
96,2014/01/31 20:00:00,5,-4.17,10.45,3.9,31.9,1.58,104.1,9.49,10.8,2014
108,2014/01/31 21:00:00,5,-4.57,10.27,4.1,31.91,1.67,103.2,9.44,10.4,2014
120,2014/01/31 22:00:00,5,-4.97,10.29,4.7,31.87,1.76,102.5,9.38,10.0,2014
131,2014/01/31 23:00:00,5,-5.37,10.3,4.4,31.83,1.69,101.9,9.33,9.6,2014
142,2014/02/01 00:00:00,5,-5.27,10.09,4.4,31.89,1.66,101.9,9.37,9.7,2014
153,2014/02/01 01:00:00,5,-4.97,10.24,4.4,31.87,1.7,101.7,9.31,10.0,2014
164,2014/02/01 02:00:00,5,-4.67,10.24,4.0,31.89,1.59,101.6,9.31,10.3,2014
176,2014/02/01 03:00:00,5,-4.17,10.26,3.8,31.9,1.51,101.9,9.32,10.8,2014
188,2014/02/01 04:00:00,5,-3.77,10.32,4.2,31.88,1.71,101.4,9.27,11.2,2014
201,2014/02/01 05:00:00,5,-3.27,10.3,6.0,31.89,18.38,101.4,9.28,11.7,2014
214,2014/02/01 06:00:00,5,-3.27,9.58,4.0,31.88,1.68,101.4,9.42,11.7,2014
227,2014/02/01 07:00:00,5,-3.17,9.56,4.1,31.86,1.72,101.4,9.43,11.8,2014
