,DATE & TIME,SEQ_NO,DEPTH(m.DL),TEMP(deg),Chl-a(ug/l),SAL(psu),SS(mg/l),DO(%),DO(mg/l),BOTTOM(m),YEAR
11,2014/01/31 13:00:00,11,-9.87,9.61,4.5,31.97,2.87,117.7,10.92,11.1,2014
12,2014/01/31 13:00:00,12,-9.97,9.61,5.0,31.97,3.95,118.3,10.98,11.1,2014
24,2014/01/31 14:00:00,11,-9.77,9.62,4.2,31.97,1.83,115.0,10.67,11.2,2014
25,2014/01/31 14:00:00,12,-9.97,9.61,4.0,31.98,2.93,114.8,10.65,11.2,2014
37,2014/01/31 15:00:00,11,-9.47,9.56,4.1,31.97,2.13,96.6,8.98,11.5,2014
38,2014/01/31 15:00:00,12,-9.97,9.55,4.1,31.98,2.99,99.0,9.2,11.5,2014
50,2014/01/31 16:00:00,11,-9.17,9.53,4.5,31.98,2.5,99.1,9.21,11.8,2014
51,2014/01/31 16:00:00,12,-9.97,9.53,4.2,31.98,3.05,99.0,9.2,11.8,2014
63,2014/01/31 17:00:00,11,-9.17,9.53,4.2,31.98,2.09,99.3,9.23,11.8,2014
64,2014/01/31 17:00:00,12,-9.97,9.53,4.1,31.99,3.07,99.2,9.22,11.8,2014
76,2014/01/31 18:00:00,11,-9.27,9.36,4.1,31.95,1.9,98.8,9.22,11.7,2014
77,2014/01/31 18:00:00,12,-9.97,9.38,5.4,31.96,11.9,97.9,9.13,11.7,2014
89,2014/01/31 19:00:00,11,-9.57,9.37,6.8,31.95,28.69,98.3,9.17,11.4,2014
90,2014/01/31 19:00:00,12,-9.97,9.37,9.6,31.95,83.07,97.1,9.06,11.4,2014
101,2014/01/31 20:00:00,10,-9.17,9.34,6.7,31.96,18.73,98.1,9.16,10.8,2014
102,2014/01/31 20:00:00,11,-9.97,9.35,12.9,31.95,125.85,97.0,9.05,10.8,2014
113,2014/01/31 21:00:00,10,-9.57,9.34,13.7,31.88,109.04,97.6,9.12,10.4,2014
114,2014/01/31 21:00:00,11,-9.97,9.34,17.9,31.77,166.25,96.4,9.01,10.4,2014
125,2014/01/31 22:00:00,10,-9.97,9.36,4.1,31.95,2.7,97.8,9.12,10.0,2014
135,2014/01/31 23:00:00,9,-9.37,9.34,3.7,31.94,1.66,98.7,9.22,9.6,2014
136,2014/01/31 23:00:00,10,-9.97,9.33,3.9,31.95,2.59,98.5,9.2,9.6,2014
146,2014/02/01 00:00:00,9,-9.27,9.41,4.1,31.97,1.92,97.3,9.07,9.7,2014
147,2014/02/01 00:00:00,10,-9.97,9.41,4.8,31.96,2.91,96.9,9.03,9.7,2014
158,2014/02/01 01:00:00,10,-9.97,9.37,4.6,31.94,2.96,97.9,9.14,10.0,2014
169,2014/02/01 02:00:00,10,-9.67,9.2,4.0,31.86,2.04,98.8,9.26,10.3,2014
170,2014/02/01 02:00:00,11,-9.97,9.23,4.6,31.88,3.0,97.9,9.17,10.3,2014
181,2014/02/01 03:00:00,10,-9.17,9.52,3.4,31.88,1.71,100.9,9.39,10.8,2014
182,2014/02/01 03:00:00,11,-9.97,9.27,3.9,31.87,3.06,99.5,9.31,10.8,2014
194,2014/02/01 04:00:00,11,-9.77,9.52,3.6,31.89,1.82,101.5,9.44,11.2,2014
195,2014/02/01 04:00:00,12,-9.97,9.54,3.5,31.9,2.61,101.1,9.4,11.2,2014
207,2014/02/01 05:00:00,11,-9.27,9.3,4.2,31.88,2.25,99.5,9.31,11.7,2014
208,2014/02/01 05:00:00,12,-9.97,9.3,4.4,31.88,3.29,99.4,9.29,11.7,2014
220,2014/02/01 06:00:00,11,-9.27,9.28,3.9,31.89,1.91,100.0,9.35,11.7,2014
221,2014/02/01 06:00:00,12,-9.97,9.29,3.9,31.89,3.1,99.4,9.29,11.7,2014
233,2014/02/01 07:00:00,11,-9.17,9.32,3.8,31.89,1.82,98.4,9.2,11.8,2014
234,2014/02/01 07:00:00,12,-9.97,9.31,4.3,31.89,2.87,97.1,9.08,11.8,2014
246,2014/02/01 08:00:00,11,-9.57,9.37,4.5,31.92,2.11,98.6,9.21,11.4,2014
247,2014/02/01 08:00:00,12,-9.97,9.38,4.8,31.92,3.02,98.3,9.17,11.4,2014
259,2014/02/01 09:00:00,11,-9.97,9.38,4.5,31.92,2.42,99.0,9.24,11.0,2014
260,2014/02/01 09:00:00,12,-9.97,9.37,3.9,31.91,3.0,99.3,9.27,11.0,2014
271,2014/02/01 10:00:00,10,-9.07,9.38,4.1,31.91,1.94,99.2,9.26,10.9,2014
272,2014/02/01 10:00:00,11,-9.97,9.38,4.5,31.91,2.81,98.9,9.23,10.9,2014
283,2014/02/01 11:00:00,10,-9.37,9.36,4.2,31.91,2.05,98.5,9.2,10.6,2014
284,2014/02/01 11:00:00,11,-9.97,9.35,4.8,31.92,3.14,98.1,9.16,10.6,2014
295,2014/02/01 12:00:00,10,-9.57,9.37,4.5,31.91,1.91,99.2,9.26,10.4,2014
296,2014/02/01 12:00:00,11,-9.97,9.35,4.3,31.91,2.84,98.3,9.18,10.4,2014
307,2014/02/01 13:00:00,10,-9.37,9.37,4.3,31.92,1.92,98.9,9.23,10.6,2014
308,2014/02/01 13:00:00,11,-9.97,9.4,4.2,31.94,2.98,98.3,9.17,10.6,2014
319,2014/02/01 14:00:00,10,-9.07,9.37,2.8,31.92,1.76,101.6,9.48,10.9,2014
320,2014/02/01 14:00:00,11,-9.97,9.41,4.0,31.95,3.2,100.4,9.36,10.9,2014
332,2014/02/01 15:00:00,11,-9.67,9.44,3.2,31.97,2.16,100.3,9.34,11.3,2014
333,2014/02/01 15:00:00,12,-9.97,9.44,3.8,31.97,2.99,100.3,9.35,11.3,2014
345,2014/02/01 16:00:00,11,-9.27,9.44,3.6,31.98,2.44,99.5,9.27,11.7,2014
346,2014/02/01 16:00:00,12,-9.97,9.45,3.7,31.98,3.36,99.4,9.26,11.7,2014
358,2014/02/01 17:00:00,11,-9.07,9.34,3.8,31.86,1.76,101.9,9.52,11.9,2014
359,2014/02/01 17:00:00,12,-9.97,9.43,3.7,31.97,2.86,99.0,9.23,11.9,2014
371,2014/02/01 18:00:00,11,-9.17,9.33,3.8,31.9,1.75,101.1,9.45,11.8,2014
372,2014/02/01 18:00:00,12,-9.97,9.43,3.9,31.97,4.45,98.6,9.19,11.8,2014
384,2014/02/01 19:00:00,11,-9.57,9.37,6.1,31.93,41.18,99.9,9.33,11.4,2014
