,DATE & TIME,SEQ_NO,DEPTH(m.DL),TEMP(deg),Chl-a(ug/l),SAL(psu),SS(mg/l),DO(%),DO(mg/l),BOTTOM(m),YEAR
9,2014/01/31 13:00:00,9,-7.87,9.92,3.9,31.99,1.61,117.3,10.81,11.1,2014
22,2014/01/31 14:00:00,9,-7.77,10.02,3.8,31.99,1.49,115.6,10.63,11.2,2014
35,2014/01/31 15:00:00,9,-7.47,9.7,3.6,31.98,1.57,97.6,9.04,11.5,2014
48,2014/01/31 16:00:00,9,-7.17,9.51,4.2,31.97,1.87,99.2,9.23,11.8,2014
61,2014/01/31 17:00:00,9,-7.17,9.48,3.6,31.97,1.76,99.5,9.27,11.8,2014
74,2014/01/31 18:00:00,9,-7.27,9.34,4.3,31.94,1.89,98.9,9.24,11.7,2014
87,2014/01/31 19:00:00,9,-7.57,9.34,4.2,31.94,2.3,98.6,9.21,11.4,2014
100,2014/01/31 20:00:00,9,-8.17,9.32,4.8,31.95,6.16,98.3,9.19,10.8,2014
112,2014/01/31 21:00:00,9,-8.57,9.33,10.3,31.94,71.51,97.9,9.15,10.4,2014
124,2014/01/31 22:00:00,9,-8.97,9.33,3.6,31.95,1.59,98.1,9.16,10.0,2014
135,2014/01/31 23:00:00,9,-9.37,9.34,3.7,31.94,1.66,98.7,9.22,9.6,2014
146,2014/02/01 00:00:00,9,-9.27,9.41,4.1,31.97,1.92,97.3,9.07,9.7,2014
157,2014/02/01 01:00:00,9,-8.97,9.16,3.8,31.85,1.87,99.6,9.34,10.0,2014
168,2014/02/01 02:00:00,9,-8.67,9.28,3.2,31.86,1.64,100.5,9.41,10.3,2014
180,2014/02/01 03:00:00,9,-8.17,9.81,3.8,31.89,1.58,101.4,9.38,10.8,2014
192,2014/02/01 04:00:00,9,-7.77,10.08,4.0,31.9,1.62,101.9,9.36,11.2,2014
205,2014/02/01 05:00:00,9,-7.27,9.58,4.3,31.87,3.96,100.8,9.36,11.7,2014
218,2014/02/01 06:00:00,9,-7.27,9.35,3.5,31.88,1.75,101.0,9.43,11.7,2014
231,2014/02/01 07:00:00,9,-7.17,9.38,3.9,31.87,1.74,100.0,9.34,11.8,2014
244,2014/02/01 08:00:00,9,-7.57,9.4,3.5,31.91,1.76,99.7,9.3,11.4,2014
257,2014/02/01 09:00:00,9,-7.97,9.35,4.3,31.9,1.83,99.9,9.33,11.0,2014
270,2014/02/01 10:00:00,9,-8.07,9.38,4.5,31.91,2.0,99.5,9.29,10.9,2014
282,2014/02/01 11:00:00,9,-8.37,9.37,4.2,31.91,1.87,99.0,9.24,10.6,2014
294,2014/02/01 12:00:00,9,-8.57,9.38,4.6,31.91,2.01,99.5,9.29,10.4,2014
306,2014/02/01 13:00:00,9,-8.37,9.39,4.3,31.9,1.85,99.6,9.29,10.6,2014
318,2014/02/01 14:00:00,9,-8.07,9.37,2.9,31.91,1.69,101.8,9.5,10.9,2014
330,2014/02/01 15:00:00,9,-7.67,9.41,3.3,31.89,1.74,102.1,9.52,11.3,2014
343,2014/02/01 16:00:00,9,-7.27,9.48,3.3,31.86,1.63,103.9,9.68,11.7,2014
356,2014/02/01 17:00:00,9,-7.07,9.44,3.7,31.86,1.65,103.3,9.64,11.9,2014
369,2014/02/01 18:00:00,9,-7.17,9.39,3.3,31.85,1.58,102.8,9.6,11.8,2014
382,2014/02/01 19:00:00,9,-7.57,9.33,4.2,31.88,6.27,101.1,9.45,11.4,2014
395,2014/02/01 20:00:00,9,-7.77,9.32,3.6,31.88,1.78,101.4,9.47,11.2,2014
408,2014/02/01 21:00:00,9,-8.17,9.41,3.9,31.95,2.17,99.1,9.24,10.8,2014
420,2014/02/01 22:00:00,9,-8.67,9.28,3.5,31.87,1.78,101.5,9.5,10.3,2014
432,2014/02/01 23:00:00,9,-9.07,9.29,3.3,31.87,1.79,101.5,9.5,9.9,2014
443,2014/02/02 00:00:00,9,-9.17,9.45,4.0,31.98,1.95,96.9,9.02,9.8,2014
454,2014/02/02 01:00:00,9,-9.07,9.36,3.5,31.89,1.79,100.9,9.42,9.9,2014
465,2014/02/02 02:00:00,9,-8.77,9.45,3.7,31.98,1.87,96.8,9.02,10.2,2014
477,2014/02/02 03:00:00,9,-8.27,9.41,3.3,31.97,1.83,97.3,9.07,10.7,2014
489,2014/02/02 04:00:00,9,-7.77,9.38,3.3,31.94,1.83,98.9,9.23,11.2,2014
502,2014/02/02 05:00:00,9,-7.47,9.34,2.6,31.92,1.74,99.9,9.33,11.5,2014
515,2014/02/02 06:00:00,9,-7.27,9.32,3.5,31.89,1.86,100.3,9.37,11.7,2014
528,2014/02/02 07:00:00,9,-7.27,9.32,3.1,31.9,1.77,100.1,9.35,11.7,2014
541,2014/02/02 08:00:00,9,-7.37,9.3,3.2,31.9,1.77,100.5,9.4,11.6,2014
554,2014/02/02 09:00:00,9,-7.67,9.33,3.5,31.95,1.9,99.7,9.31,11.3,2014
567,2014/02/02 10:00:00,9,-7.97,9.46,4.0,32.03,1.84,97.6,9.09,11.0,2014
580,2014/02/02 11:00:00,9,-8.37,9.31,3.7,31.88,1.8,100.7,9.41,10.6,2014
592,2014/02/02 12:00:00,9,-8.37,9.31,3.5,31.88,1.78,100.6,9.41,10.6,2014
604,2014/02/02 13:00:00,9,-8.57,9.31,2.7,31.85,1.61,101.9,9.53,10.4,2014
616,2014/02/02 14:00:00,9,-8.27,9.37,2.3,31.84,1.61,103.1,9.63,10.7,2014
628,2014/02/02 15:00:00,9,-7.87,9.33,3.0,31.86,1.75,102.0,9.54,11.1,2014
641,2014/02/02 16:00:00,9,-7.37,9.54,2.7,32.03,1.63,94.7,8.8,11.6,2014
654,2014/02/02 17:00:00,9,-7.17,9.57,3.0,32.05,1.71,94.1,8.73,11.8,2014
667,2014/02/02 18:00:00,9,-6.97,9.4,3.5,31.94,1.83,97.5,9.09,12.0,2014
681,2014/02/02 19:00:00,9,-7.17,9.41,3.4,31.83,1.71,102.8,9.6,11.8,2014
694,2014/02/02 20:00:00,9,-7.47,9.6,4.2,32.07,11.11,94.6,8.78,11.5,2014
707,2014/02/02 21:00:00,9,-7.87,9.52,3.9,32.02,2.3,95.5,8.88,11.1,2014
720,2014/02/02 22:00:00,9,-8.27,9.46,4.5,31.93,2.67,97.1,9.04,10.7,2014
732,2014/02/02 23:00:00,9,-8.47,9.47,4.8,31.94,2.14,96.5,8.98,10.5,2014
744,2014/02/03 00:00:00,9,-8.77,9.51,4.6,31.97,2.55,95.2,8.86,10.2,2014
756,2014/02/03 01:00:00,9,-8.87,9.5,4.7,32.0,2.69,95.0,8.84,10.1,2014
768,2014/02/03 02:00:00,9,-8.77,9.4,4.9,31.94,2.03,96.5,9.0,10.2,2014
780,2014/02/03 03:00:00,9,-8.37,9.46,4.3,31.96,2.03,95.4,8.88,10.6,2014
792,2014/02/03 04:00:00,9,-8.07,9.4,4.6,31.89,2.04,96.6,9.01,10.9,2014
804,2014/02/03 05:00:00,9,-7.47,9.48,4.7,31.82,1.87,98.9,9.21,11.5,2014
817,2014/02/03 06:00:00,9,-7.27,9.4,6.2,31.82,2.15,98.1,9.16,11.7,2014
830,2014/02/03 07:00:00,9,-7.17,9.45,3.9,31.93,1.91,97.9,9.12,11.8,2014
843,2014/02/03 08:00:00,9,-7.17,9.42,4.3,31.91,1.9,97.7,9.11,11.8,2014
856,2014/02/03 09:00:00,9,-7.37,9.44,3.8,31.92,1.73,97.9,9.13,11.6,2014
869,2014/02/03 10:00:00,9,-7.67,9.48,3.0,31.95,1.74,98.6,9.18,11.3,2014
882,2014/02/03 11:00:00,9,-8.07,9.46,4.0,31.94,1.91,96.6,9.0,10.9,2014
894,2014/02/03 12:00:00,9,-8.37,9.53,4.6,32.01,1.84,96.8,9.0,10.6,2014
906,2014/02/03 13:00:00,9,-8.57,9.46,4.7,31.89,1.91,96.9,9.03,10.4,2014
918,2014/02/03 14:00:00,9,-8.37,9.4,6.5,31.8,2.2,97.2,9.07,10.6,2014
930,2014/02/03 15:00:00,9,-8.37,9.44,5.8,31.88,2.15,95.8,8.93,10.6,2014
942,2014/02/03 16:00:00,9,-7.77,9.27,4.4,31.7,2.02,97.9,9.17,11.2,2014
955,2014/02/03 17:00:00,9,-7.27,9.37,7.0,31.77,2.42,96.7,9.03,11.7,2014
968,2014/02/03 18:00:00,9,-7.07,9.45,4.3,31.95,1.99,96.1,8.95,11.9,2014
981,2014/02/03 19:00:00,9,-7.07,9.41,4.8,31.85,2.09,96.8,9.03,11.9,2014
994,2014/02/03 20:00:00,9,-7.17,9.44,4.7,31.88,2.15,96.5,9.0,11.8,2014
1007,2014/02/03 21:00:00,9,-7.37,9.5,3.4,31.84,1.83,100.0,9.31,11.6,2014
1020,2014/02/03 22:00:00,9,-7.97,9.77,4.0,31.73,1.84,103.9,9.63,11.0,2014
1032,2014/02/03 23:00:00,9,-8.07,9.82,4.1,31.69,1.77,106.9,9.89,10.9,2014
1044,2014/02/04 00:00:00,9,-8.47,9.85,4.2,31.75,2.34,103.8,9.59,10.5,2014
1056,2014/02/04 01:00:00,9,-8.47,9.88,4.5,31.66,1.79,108.1,9.99,10.5,2014
1068,2014/02/04 02:00:00,9,-8.67,9.9,4.0,31.66,1.82,108.0,9.98,10.3,2014
1080,2014/02/04 03:00:00,9,-8.67,9.88,4.0,31.82,2.51,101.4,9.37,10.3,2014
1092,2014/02/04 04:00:00,9,-7.97,9.92,3.6,31.69,1.74,106.3,9.82,11.0,2014
1105,2014/02/04 05:00:00,9,-7.77,9.97,3.7,31.67,1.63,107.3,9.9,11.2,2014
1118,2014/02/04 06:00:00,9,-7.27,10.07,3.3,31.69,1.78,106.1,9.76,11.7,2014
1131,2014/02/04 07:00:00,9,-7.27,10.01,3.1,31.69,1.58,105.5,9.72,11.7,2014
1144,2014/02/04 08:00:00,9,-7.17,10.51,2.5,31.65,1.51,104.4,9.52,11.8,2014
1157,2014/02/04 09:00:00,9,-7.27,10.52,2.5,31.56,1.53,103.8,9.47,11.7,2014
1170,2014/02/04 10:00:00,9,-7.57,10.48,2.3,31.56,1.61,103.8,9.47,11.4,2014
1183,2014/02/04 11:00:00,9,-7.87,10.36,2.6,31.61,1.68,103.2,9.45,11.1,2014
1196,2014/02/04 12:00:00,9,-8.27,10.02,2.9,31.76,1.83,99.0,9.12,10.7,2014
1208,2014/02/04 13:00:00,9,-8.47,10.04,3.0,31.79,1.91,97.6,8.98,10.5,2014
1220,2014/02/04 14:00:00,9,-8.47,10.02,2.7,31.76,1.88,99.1,9.13,10.5,2014
1232,2014/02/04 15:00:00,9,-8.57,9.85,2.7,31.8,1.9,98.9,9.14,10.4,2014
1244,2014/02/04 16:00:00,9,-8.27,9.82,2.4,31.82,1.89,98.7,9.13,10.7,2014
1256,2014/02/04 17:00:00,9,-7.87,9.87,2.8,32.01,2.8,90.1,8.32,11.1,2014
1269,2014/02/04 18:00:00,9,-7.57,9.91,2.2,31.92,2.21,93.6,8.63,11.4,2014
1282,2014/02/04 19:00:00,9,-7.37,10.0,2.1,31.76,1.72,98.1,9.04,11.6,2014
1295,2014/02/04 20:00:00,9,-7.27,10.03,2.1,31.71,1.59,99.7,9.19,11.7,2014
1308,2014/02/04 21:00:00,9,-7.47,10.02,1.8,31.72,1.59,99.6,9.17,11.5,2014
1321,2014/02/04 22:00:00,9,-7.77,10.0,2.5,31.74,2.24,99.2,9.14,11.2,2014
1334,2014/02/04 23:00:00,9,-7.97,9.86,2.2,31.96,2.41,91.4,8.44,11.0,2014
1347,2014/02/05 00:00:00,9,-8.17,9.85,2.2,31.97,2.22,91.1,8.42,10.8,2014
