STATION,DATE & TIME,SEQ_NO,DEPTH(m.DL),V-E(cm/s),V-N(cm/s),V-UD(cm/s),R-E( ),R-N( ),R-UD( ),BOTTOM(m),VOLT(V),STATUS
0001,2013/05/01 00:00:00,1,-10.60,-10.1,5.5,-2.4,131,128,131,-11.10,9.9,00016
0001,2013/05/01 00:00:00,2,-9.60,-9,4.3,-1.4,115,112,114,-11.10,9.9,00016
0001,2013/05/01 00:00:00,3,-8.60,-8.8,0,-1.1,104,101,104,-11.10,9.9,00016
0001,2013/05/01 00:00:00,4,-7.60,-4.7,3.5,-1.1,96,93,97,-11.10,9.9,00016
0001,2013/05/01 00:00:00,5,-6.60,-2.8,2.9,-1.3,86,86,87,-11.10,9.9,00016
0001,2013/05/01 00:00:00,6,-5.60,-4.3,1.7,-0.8,78,78,80,-11.10,9.9,00016
0001,2013/05/01 00:00:00,7,-4.60,-2.1,0.1,-0.8,78,72,74,-11.10,9.9,00016
0001,2013/05/01 00:00:00,8,-3.60,3,0,0.6,69,72,70,-11.10,9.9,00016
0001,2013/05/01 00:00:00,9,-2.60,3.7,-0.5,-0.4,68,89,65,-11.10,9.9,00016
0001,2013/05/01 00:00:00,10,-1.60,-0.3,-25,-4.8,79,106,77,-11.10,9.9,00016
0001,2013/05/01 01:00:00,1,-10.60,0.7,3.2,-1.1,127,126,129,10.05,9.9,00016
0001,2013/05/01 01:00:00,2,-9.60,-2.4,8,-0.6,111,109,112,10.05,9.9,00016
0001,2013/05/01 01:00:00,3,-8.60,-3.2,8.6,-1.2,100,98,101,10.05,9.9,00016
0001,2013/05/01 01:00:00,4,-7.60,0.6,6.1,-0.4,92,91,92,10.05,9.9,00016
0001,2013/05/01 01:00:00,5,-6.60,0.7,2.2,-0.4,86,84,86,10.05,9.9,00016
0001,2013/05/01 01:00:00,6,-5.60,1.9,-2.3,-0.3,80,77,80,10.05,9.9,00016
