STATION,DATE & TIME,V-MAX(m/s),V-AVE(m/s),D-MAX(deg),D-AVE(deg),VOLT(V),STATUS
0001,2015/11/01 00:00:00,7.3,5.2,26,26,11.5,00
0001,2015/11/01 00:15:00,7.5,5.9,29,23,11.5,00
0001,2015/11/01 00:30:00,7.5,5.6,19,23,11.5,00
0001,2015/11/01 00:45:00,8.2,6.4,26,28,11.5,00
0001,2015/11/01 01:00:00,7.9,6.0,28,25,11.5,00
0001,2015/11/01 01:15:00,7.2,6.0,25,26,11.5,00
0001,2015/11/01 01:30:00,7.3,5.8,30,29,11.5,00
0001,2015/11/01 01:45:00,7.4,6.0,29,35,11.5,00
0001,2015/11/01 02:00:00,7.1,5.6,35,30,11.5,00
0001,2015/11/01 02:15:00,6.7,5.2,23,30,11.5,00
0001,2015/11/01 02:30:00,7.1,5.6,37,29,11.5,00
0001,2015/11/01 02:45:00,6.7,5.4,37,35,11.5,00
0001,2015/11/01 03:00:00,7.5,6.2,33,36,11.5,00
0001,2015/11/01 03:15:00,8.1,6.2,37,36,11.5,00
0001,2015/11/01 03:30:00,7.9,6.0,33,30,11.5,00
0001,2015/11/01 03:45:00,8.2,6.8,37,30,11.5,00
0001,2015/11/01 04:00:00,7.8,6.0,26,22,11.5,00
0001,2015/11/01 04:15:00,6.7,5.2,19,22,11.5,00
0001,2015/11/01 04:30:00,6.7,4.8,26,21,11.5,00
0001,2015/11/01 04:45:00,5.4,4.2,25,11,11.5,00
0001,2015/11/01 05:00:00,5.9,4.0,30,21,11.5,00
0001,2015/11/01 05:15:00,5.5,4.6,16,25,11.5,00
0001,2015/11/01 05:30:00,5.6,4.2,32,29,11.5,00
0001,2015/11/01 05:45:00,5.0,4.0,40,37,11.5,00
0001,2015/11/01 06:00:00,5.3,3.8,42,43,11.5,00
0001,2015/11/01 06:15:00,5.8,4.2,47,30,11.5,00
0001,2015/11/01 06:30:00,5.1,4.0,32,30,11.5,00
0001,2015/11/01 06:45:00,5.8,4.6,16,12,11.5,00
0001,2015/11/01 07:00:00,5.9,4.6,16,14,11.5,00
0001,2015/11/01 07:15:00,5.6,4.4,29,16,11.5,00
0001,2015/11/01 07:30:00,5.9,4.2,4,11,11.5,00
0001,2015/11/01 07:45:00,5.9,4.6,14,9,11.5,00
0001,2015/11/01 08:00:00,6.3,4.7,19,11,11.5,00
0001,2015/11/01 08:15:00,6.5,4.8,16,12,11.5,00
0001,2015/11/01 08:30:00,5.3,4.0,16,19,11.5,00
0001,2015/11/01 08:45:00,4.4,2.8,25,26,11.5,00
0001,2015/11/01 09:00:00,4.0,2.8,40,39,11.5,00
0001,2015/11/01 09:15:00,3.7,2.4,22,28,11.5,00
0001,2015/11/01 09:30:00,4.0,2.4,26,21,11.5,00
0001,2015/11/01 09:45:00,4.6,3.4,19,15,11.5,00
0001,2015/11/01 10:00:00,5.0,3.4,29,23,11.5,00
0001,2015/11/01 10:15:00,4.4,3.0,30,26,11.5,00
0001,2015/11/01 10:30:00,4.4,3.0,22,35,11.5,00
0001,2015/11/01 10:45:00,4.4,2.6,19,39,11.5,00
0001,2015/11/01 11:00:00,4.5,2.4,33,32,11.5,00
0001,2015/11/01 11:15:00,3.0,1.6,0,354,11.5,00
0001,2015/11/01 11:30:00,2.6,2.0,317,334,11.5,00
0001,2015/11/01 11:45:00,2.7,1.8,331,329,11.5,00
0001,2015/11/01 12:00:00,3.0,1.8,334,330,11.5,00
0001,2015/11/01 12:15:00,2.9,1.8,315,309,11.5,00
0001,2015/11/01 12:30:00,3.8,2.4,317,329,11.5,00
0001,2015/11/01 12:45:00,3.8,2.6,307,295,11.5,00
0001,2015/11/01 13:00:00,3.1,2.0,334,315,11.5,00
0001,2015/11/01 13:15:00,3.0,2.0,296,313,11.5,00
0001,2015/11/01 13:30:00,3.0,2.0,293,316,11.5,00
0001,2015/11/01 13:45:00,3.4,2.4,329,333,11.5,00
0001,2015/11/01 14:00:00,3.2,1.8,323,323,11.5,00
0001,2015/11/01 14:15:00,2.6,1.8,315,315,11.5,00
0001,2015/11/01 14:30:00,2.6,1.8,313,299,11.5,00
0001,2015/11/01 14:45:00,2.2,1.2,295,303,11.5,00
0001,2015/11/01 15:00:00,2.2,1.6,302,298,11.5,00
0001,2015/11/01 15:15:00,1.9,1.2,299,282,11.5,00
0001,2015/11/01 15:30:00,2.2,1.6,275,282,11.5,00
0001,2015/11/01 15:45:00,2.1,1.6,300,298,11.5,00
0001,2015/11/01 16:00:00,2.3,1.6,307,323,11.5,00
0001,2015/11/01 16:15:00,2.0,1.5,337,324,11.5,00
0001,2015/11/01 16:30:00,2.1,1.4,312,306,11.5,00
0001,2015/11/01 16:45:00,3.3,0.4,102,337,11.5,00
0001,2015/11/01 17:00:00,6.1,2.8,142,126,11.5,00
0001,2015/11/01 17:15:00,6.6,2.6,125,125,11.5,00
0001,2015/11/01 17:30:00,5.6,2.8,129,137,11.5,00
0001,2015/11/01 17:45:00,5.4,3.2,130,135,11.5,00
0001,2015/11/01 18:00:00,5.5,3.2,140,125,11.5,00
0001,2015/11/01 18:15:00,5.0,2.4,120,112,11.5,00
0001,2015/11/01 18:30:00,5.1,2.8,109,115,11.5,00
0001,2015/11/01 18:45:00,4.7,3.0,99,101,11.5,00
0001,2015/11/01 19:00:00,4.8,3.6,101,94,11.5,00
0001,2015/11/01 19:15:00,5.3,4.2,85,88,11.5,00
0001,2015/11/01 19:30:00,5.3,4.0,97,95,11.5,00
0001,2015/11/01 19:45:00,5.6,4.2,120,105,11.5,00
0001,2015/11/01 20:00:00,5.3,4.0,91,95,11.5,00
0001,2015/11/01 20:15:00,4.7,3.0,102,102,11.5,00
0001,2015/11/01 20:30:00,5.3,3.3,116,116,11.5,00
0001,2015/11/01 20:45:00,4.8,3.6,90,105,11.5,00
0001,2015/11/01 21:00:00,4.6,3.2,111,105,11.5,00
0001,2015/11/01 21:15:00,5.3,3.8,104,97,11.5,00
0001,2015/11/01 21:30:00,5.8,4.6,104,92,11.5,00
0001,2015/11/01 21:45:00,5.6,4.2,90,90,11.5,00
