STATION,DATE & TIME,SEQ_NO,DEPTH(m.DL),V-E(cm/s),V-N(cm/s),V-UD(cm/s),R-E( ),R-N( ),R-UD( ),BOTTOM(m),VOLT(V),STATUS
0001,2005/09/01 00:00:00,1,-10.60,1.5,3.2,1.7,101,102,82,12.20,9.9,00016
0001,2005/09/01 00:00:00,2,-9.60,5,0.8,0.2,84,85,62,12.20,9.9,00016
0001,2005/09/01 00:00:00,3,-8.60,9.8,-4.7,0,95,92,27,12.20,9.9,00016
0001,2005/09/01 00:00:00,4,-7.60,5.5,-1,0.8,116,113,252,12.20,9.9,00016
0001,2005/09/01 00:00:00,5,-6.60,0.1,-1,2,121,121,172,12.20,9.9,00016
0001,2005/09/01 00:00:00,6,-5.60,2.4,-2.3,0.3,123,122,122,12.20,9.9,00016
0001,2005/09/01 00:00:00,7,-4.60,1.7,-1.7,0.2,119,119,223,12.20,9.9,00016
0001,2005/09/01 00:00:00,8,-3.60,6.8,-1.9,0,112,113,79,12.20,9.9,00016
0001,2005/09/01 00:00:00,9,-2.60,3.9,-3.6,2.7,89,100,255,12.20,9.9,00016
0001,2005/09/01 00:00:00,10,-1.60,-5.9,-9.1,1.7,93,97,255,12.20,9.9,00016
0001,2005/09/01 01:00:00,1,-10.60,-1.7,5.1,-0.3,99,101,80,12.34,9.9,00016
0001,2005/09/01 01:00:00,2,-9.60,1.5,0.9,1.5,82,83,62,12.34,9.9,00016
0001,2005/09/01 01:00:00,3,-8.60,4.4,-3.7,0.7,89,90,27,12.34,9.9,00016
0001,2005/09/01 01:00:00,4,-7.60,3.2,-1.5,1,108,109,252,12.34,9.9,00016
0001,2005/09/01 01:00:00,5,-6.60,-1.4,-3.6,1.5,114,115,172,12.34,9.9,00016
0001,2005/09/01 01:00:00,6,-5.60,-0.1,-0.5,0.7,117,118,122,12.34,9.9,00016
0001,2005/09/01 01:00:00,7,-4.60,2.7,-6.2,0.8,118,119,223,12.34,9.9,00016
0001,2005/09/01 01:00:00,8,-3.60,7.4,-6,-0.8,116,117,79,12.34,9.9,00016
0001,2005/09/01 01:00:00,9,-2.60,5.4,-5.5,0.5,99,101,255,12.34,9.9,00016
0001,2005/09/01 01:00:00,10,-1.60,8.6,-4.4,3.7,92,90,255,12.34,9.9,00016
