STATION0,DATE & TIME,SEQ_NO,DEPTH(m.DL),TEMP(deg),Chl-a(ug/l),SAL(psu),SS(mg/l),DO(%),DO(mg/l),BOTTOM(m),VOLT(V),STATUS
0001,2011/12/13 10:00:00,0,0.43,14.15,1.4,31.22,0.61,93.0,7.87,10.90,9.6,0000000
0001,2011/12/13 10:00:00,1,-0.07,14.15,1.4,31.22,0.62,92.7,7.84,10.90,9.6,0000000
0001,2011/12/13 10:00:00,2,-1.07,14.15,1.5,31.22,0.61,92.6,7.84,10.90,9.6,0000000
0001,2011/12/13 10:00:00,3,-2.07,14.15,1.8,31.22,0.62,92.6,7.84,10.90,9.6,0000000
0001,2011/12/13 10:00:00,4,-3.07,14.14,2.0,31.23,0.63,92.5,7.83,10.90,9.6,0000000
0001,2011/12/13 10:00:00,5,-4.07,14.14,2.3,31.23,0.61,92.3,7.81,10.90,9.6,0000000
0001,2011/12/13 10:00:00,6,-5.07,14.13,2.3,31.24,0.61,92.1,7.79,10.90,9.6,0000000
0001,2011/12/13 10:00:00,7,-6.07,14.11,2.5,31.26,0.62,91.6,7.75,10.90,9.6,0000000
0001,2011/12/13 10:00:00,8,-7.07,14.17,2.4,31.50,0.60,87.2,7.36,10.90,9.6,0000000
0001,2011/12/13 10:00:00,9,-8.07,15.63,1.1,32.48,0.74,73.2,5.96,10.90,9.6,0000000
0001,2011/12/13 10:00:00,10,-9.07,15.93,1.0,32.71,1.10,64.0,5.18,10.90,9.6,0000000
0001,2011/12/13 10:00:00,11,-9.97,15.94,1.0,32.68,8.15,63.2,5.11,10.90,9.6,0000000
0001,2011/12/13 13:00:00,0,0.23,14.49,1.6,30.95,0.72,94.1,7.92,10.70,9.6,0000000
0001,2011/12/13 13:00:00,1,-0.27,14.49,1.7,30.95,0.72,94.0,7.91,10.70,9.6,0000000
0001,2011/12/13 13:00:00,2,-1.27,14.41,2.0,30.98,0.72,93.7,7.90,10.70,9.6,0000000
0001,2011/12/13 13:00:00,3,-2.27,14.05,2.7,31.16,0.67,93.9,7.96,10.70,9.6,0000000
0001,2011/12/13 13:00:00,4,-3.27,13.94,3.4,31.20,0.64,94.1,8.00,10.70,9.6,0000000
0001,2011/12/13 13:00:00,5,-4.27,14.06,3.1,31.30,0.65,91.9,7.79,10.70,9.6,0000000
0001,2011/12/13 13:00:00,6,-5.27,13.90,3.0,31.30,0.58,92.6,7.87,10.70,9.6,0000000
0001,2011/12/13 13:00:00,7,-6.27,14.15,2.8,31.42,0.64,89.9,7.60,10.70,9.6,0000000
0001,2011/12/13 13:00:00,8,-7.27,14.63,1.7,31.75,0.56,85.2,7.12,10.70,9.6,0000000
0001,2011/12/13 13:00:00,9,-8.27,15.11,1.4,32.18,0.58,78.6,6.49,10.70,9.6,0000000
0001,2011/12/13 13:00:00,10,-9.27,15.68,1.2,32.53,0.69,73.0,5.94,10.70,9.6,0000000
0001,2011/12/13 13:00:00,11,-9.97,16.15,1.1,32.84,8.83,58.3,4.69,10.70,9.6,0000000
0001,2011/12/13 14:00:00,0,0.53,14.47,2.2,31.06,0.69,95.1,8.01,11.00,9.6,0000000
0001,2011/12/13 14:00:00,1,0.03,14.47,2.5,31.06,0.69,94.9,7.98,11.00,9.6,0000000
0001,2011/12/13 14:00:00,2,-0.97,14.46,2.8,31.07,0.70,94.7,7.97,11.00,9.6,0000000
0001,2011/12/13 14:00:00,3,-1.97,14.29,3.0,31.17,0.67,94.6,7.99,11.00,9.6,0000000
0001,2011/12/13 14:00:00,4,-2.97,14.03,3.3,31.32,0.60,93.7,7.94,11.00,9.6,0000000
0001,2011/12/13 14:00:00,5,-3.97,13.96,3.2,31.38,0.56,93.1,7.90,11.00,9.6,0000000
0001,2011/12/13 14:00:00,6,-4.97,13.96,3.2,31.40,0.57,92.5,7.85,11.00,9.6,0000000
0001,2011/12/13 14:00:00,7,-5.97,14.06,2.9,31.46,0.60,90.9,7.69,11.00,9.6,0000000
0001,2011/12/13 14:00:00,8,-6.97,14.71,2.1,31.83,0.66,83.3,6.94,11.00,9.6,0000000
0001,2011/12/13 14:00:00,9,-7.97,15.49,1.4,32.36,0.62,76.0,6.22,11.00,9.6,0000000
0001,2011/12/13 14:00:00,10,-8.97,15.75,1.3,32.59,0.69,73.4,5.96,11.00,9.6,0000000
0001,2011/12/13 14:00:00,11,-9.97,16.19,1.3,32.92,1.23,58.1,4.67,11.00,9.6,0000000
0001,2011/12/13 14:00:00,12,-9.97,16.31,1.2,33.01,8.80,55.9,4.48,11.00,9.6,0000000
0001,2011/12/13 15:00:00,0,0.73,14.73,3.0,31.19,0.71,95.1,7.96,11.20,9.6,0000000
0001,2011/12/13 15:00:00,1,0.23,14.72,3.1,31.19,0.70,95.0,7.94,11.20,9.6,0000000
0001,2011/12/13 15:00:00,2,-0.77,14.71,3.1,31.19,0.71,94.9,7.94,11.20,9.6,0000000
0001,2011/12/13 15:00:00,3,-1.77,14.51,3.3,31.19,0.70,95.4,8.01,11.20,9.6,0000000
0001,2011/12/13 15:00:00,4,-2.77,14.05,3.2,31.30,0.61,94.9,8.04,11.20,9.6,0000000
0001,2011/12/13 15:00:00,5,-3.77,14.05,3.3,31.41,0.57,92.6,7.84,11.20,9.6,0000000
0001,2011/12/13 15:00:00,6,-4.77,14.01,3.3,31.43,0.60,92.3,7.82,11.20,9.6,0000000
0001,2011/12/13 15:00:00,7,-5.77,14.33,2.8,31.60,0.56,89.0,7.48,11.20,9.6,0000000
0001,2011/12/13 15:00:00,8,-6.77,15.11,1.6,32.10,0.68,79.6,6.57,11.20,9.6,0000000
0001,2011/12/13 15:00:00,9,-7.77,15.49,1.4,32.34,0.67,76.3,6.24,11.20,9.6,0000000
0001,2011/12/13 15:00:00,10,-8.77,15.71,1.3,32.58,0.77,73.1,5.94,11.20,9.6,0000000
0001,2011/12/13 15:00:00,11,-9.77,16.17,1.3,32.89,1.26,58.7,4.72,11.20,9.6,0000000
0001,2011/12/13 15:00:00,12,-9.97,16.35,1.2,33.03,8.64,53.7,4.30,11.20,9.6,0000000
0001,2011/12/13 16:00:00,0,0.83,14.31,3.5,31.19,0.67,96.5,8.14,11.30,9.6,0000000
0001,2011/12/13 16:00:00,1,0.33,14.30,3.6,31.19,0.66,96.5,8.14,11.30,9.6,0000000
0001,2011/12/13 16:00:00,2,-0.67,14.32,3.8,31.19,0.68,96.3,8.12,11.30,9.6,0000000
0001,2011/12/13 16:00:00,3,-1.67,14.35,3.9,31.20,0.66,96.0,8.09,11.30,9.6,0000000
0001,2011/12/13 16:00:00,4,-2.67,14.31,3.8,31.24,0.63,95.6,8.06,11.30,9.6,0000000
0001,2011/12/13 16:00:00,5,-3.67,14.03,3.9,31.40,0.55,94.0,7.96,11.30,9.6,0000000
0001,2011/12/13 16:00:00,6,-4.67,14.12,3.7,31.47,0.55,91.5,7.74,11.30,9.6,0000000
0001,2011/12/13 16:00:00,7,-5.67,14.10,3.7,31.49,0.55,90.9,7.69,11.30,9.6,0000000
0001,2011/12/13 16:00:00,8,-6.67,14.57,2.5,31.73,0.60,86.2,7.21,11.30,9.6,0000000
0001,2011/12/13 16:00:00,9,-7.67,15.11,1.7,32.12,0.72,79.6,6.57,11.30,9.6,0000000
0001,2011/12/13 16:00:00,10,-8.67,15.57,1.5,32.46,0.59,74.9,6.11,11.30,9.6,0000000
0001,2011/12/13 16:00:00,11,-9.67,15.94,1.4,32.77,0.81,68.4,5.53,11.30,9.6,0000000
0001,2011/12/13 16:00:00,12,-9.97,16.34,1.2,33.05,9.32,54.8,4.39,11.30,9.6,0000000
0001,2011/12/13 17:00:00,0,0.93,14.28,3.7,31.26,0.65,95.9,8.09,11.40,9.6,0000000
0001,2011/12/13 17:00:00,1,0.43,14.34,3.8,31.26,0.66,95.9,8.08,11.40,9.6,0000000
0001,2011/12/13 17:00:00,2,-0.57,14.34,3.9,31.26,0.66,95.8,8.08,11.40,9.6,0000000
0001,2011/12/13 17:00:00,3,-1.57,14.33,4.0,31.28,0.63,95.5,8.05,11.40,9.6,0000000
0001,2011/12/13 17:00:00,4,-2.57,14.27,4.0,31.31,0.64,95.0,8.01,11.40,9.6,0000000
0001,2011/12/13 17:00:00,5,-3.57,14.13,4.3,31.43,0.57,92.7,7.84,11.40,9.6,0000000
0001,2011/12/13 17:00:00,6,-4.57,14.28,3.3,31.58,0.64,88.9,7.48,11.40,9.6,0000000
0001,2011/12/13 17:00:00,7,-5.57,14.47,2.8,31.69,0.61,86.8,7.27,11.40,9.6,0000000
0001,2011/12/13 17:00:00,8,-6.57,14.87,1.9,31.95,0.57,82.9,6.88,11.40,9.6,0000000
0001,2011/12/13 17:00:00,9,-7.57,15.38,1.6,32.31,0.57,77.1,6.32,11.40,9.6,0000000
0001,2011/12/13 17:00:00,10,-8.57,16.12,1.5,32.89,0.89,65.4,5.27,11.40,9.6,0000000
0001,2011/12/13 17:00:00,11,-9.57,16.39,1.2,33.09,1.71,53.0,4.24,11.40,9.6,0000000
0001,2011/12/13 17:00:00,12,-9.97,16.39,1.3,33.08,9.99,52.9,4.23,11.40,9.6,0000000
0001,2011/12/13 18:00:00,0,1.03,14.28,3.6,31.31,0.63,95.6,8.06,11.50,9.6,0000000
0001,2011/12/13 18:00:00,1,0.53,14.29,3.6,31.31,0.63,95.4,8.05,11.50,9.6,0000000
0001,2011/12/13 18:00:00,2,-0.47,14.28,3.8,31.31,0.65,95.4,8.04,11.50,9.6,0000000
0001,2011/12/13 18:00:00,3,-1.47,14.29,3.9,31.31,0.63,95.2,8.03,11.50,9.6,0000000
0001,2011/12/13 18:00:00,4,-2.47,14.29,4.0,31.31,0.63,95.0,8.02,11.50,9.6,0000000
0001,2011/12/13 18:00:00,5,-3.47,14.28,4.1,31.32,0.63,94.8,7.99,11.50,9.6,0000000
0001,2011/12/13 18:00:00,6,-4.47,14.24,4.4,31.36,0.61,93.9,7.93,11.50,9.6,0000000
0001,2011/12/13 18:00:00,7,-5.47,14.37,3.5,31.68,0.66,87.1,7.31,11.50,9.6,0000000
0001,2011/12/13 18:00:00,8,-6.47,14.74,2.3,31.89,0.57,83.9,6.99,11.50,9.6,0000000
0001,2011/12/13 18:00:00,9,-7.47,15.00,2.0,32.06,0.59,80.9,6.69,11.50,9.6,0000000
