STATION0,DATE & TIME,SEQ_NO,DEPTH(m.DL),TEMP(deg),Chl-a(ug/l),SAL(psu),SS(mg/l),DO(%),DO(mg/l),BOTTOM(m),VOLT(V),STATUS
0001,2012/09/01 00:00:00,0,0.03,32.25,8.8,26.25,3.36,99.1,6.24,10.50,9.5,0000000
0001,2012/09/01 00:00:00,1,-0.47,31.80,9.8,26.85,2.96,102.7,6.49,10.50,9.5,0000000
0001,2012/09/01 00:00:00,2,-1.47,30.43,12.9,26.82,3.25,107.0,6.91,10.50,9.5,0000000
0001,2012/09/01 00:00:00,3,-2.47,30.88,11.8,26.85,3.08,104.2,6.68,10.50,9.5,0000000
0001,2012/09/01 00:00:00,4,-3.47,29.93,12.3,27.48,2.66,100.6,6.52,10.50,9.5,0000000
0001,2012/09/01 00:00:00,5,-4.47,29.53,9.3,28.01,1.83,87.2,5.68,10.50,9.5,0000000
0001,2012/09/01 00:00:00,6,-5.47,29.22,7.4,28.30,1.58,77.2,5.04,10.50,9.5,0000000
0001,2012/09/01 00:00:00,7,-6.47,28.86,5.5,28.55,1.35,65.1,4.27,10.50,9.5,0000000
0001,2012/09/01 00:00:00,8,-7.47,28.61,4.5,28.83,1.42,55.4,3.65,10.50,9.5,0000000
0001,2012/09/01 00:00:00,9,-8.47,28.22,4.2,29.24,1.48,44.5,2.94,10.50,9.5,0000000
0001,2012/09/01 00:00:00,10,-9.47,27.93,3.7,29.58,2.16,32.5,2.16,10.50,9.5,0000000
0001,2012/09/01 00:00:00,11,-9.97,27.83,3.1,29.64,4.05,22.0,1.46,10.50,9.5,0000000
0001,2012/09/01 01:00:00,0,0.33,30.85,10.8,26.18,3.55,102.1,6.57,10.80,9.5,0000000
0001,2012/09/01 01:00:00,1,-0.17,30.47,11.7,26.49,3.42,104.2,6.74,10.80,9.5,0000000
0001,2012/09/01 01:00:00,2,-1.17,30.17,11.9,26.76,3.11,104.9,6.81,10.80,9.5,0000000
0001,2012/09/01 01:00:00,3,-2.17,30.09,11.9,27.42,2.34,107.4,6.95,10.80,9.5,0000000
0001,2012/09/01 01:00:00,4,-3.17,30.04,11.4,27.57,2.27,108.7,7.04,10.80,9.5,0000000
0001,2012/09/01 01:00:00,5,-4.17,29.64,10.2,27.99,1.84,95.2,6.19,10.80,9.5,0000000
0001,2012/09/01 01:00:00,6,-5.17,28.91,11.0,28.86,1.89,99.7,6.52,10.80,9.5,0000000
0001,2012/09/01 01:00:00,7,-6.17,28.67,9.8,29.08,1.77,83.6,5.49,10.80,9.5,0000000
0001,2012/09/01 01:00:00,8,-7.17,28.55,7.1,29.08,1.62,64.3,4.23,10.80,9.5,0000000
0001,2012/09/01 01:00:00,9,-8.17,28.48,5.9,29.11,1.51,57.5,3.78,10.80,9.5,0000000
0001,2012/09/01 01:00:00,10,-9.17,28.24,5.1,29.25,2.02,42.3,2.79,10.80,9.5,0000000
0001,2012/09/01 01:00:00,11,-9.97,27.65,2.5,29.73,2.18,6.6,0.44,10.80,9.5,0000000
0001,2012/09/01 02:00:00,0,0.73,30.34,11.5,26.37,3.45,102.4,6.64,11.20,9.5,0000000
0001,2012/09/01 02:00:00,1,0.23,30.00,10.8,26.74,2.92,104.6,6.80,11.20,9.5,0000000
0001,2012/09/01 02:00:00,2,-0.77,30.13,11.4,27.04,2.64,106.0,6.87,11.20,9.5,0000000
0001,2012/09/01 02:00:00,3,-1.77,30.11,11.0,27.57,1.95,111.8,7.23,11.20,9.5,0000000
0001,2012/09/01 02:00:00,4,-2.77,30.06,11.1,27.66,1.92,111.8,7.23,11.20,9.5,0000000
0001,2012/09/01 02:00:00,5,-3.77,29.84,11.5,27.88,1.97,106.8,6.93,11.20,9.5,0000000
0001,2012/09/01 02:00:00,6,-4.77,29.37,10.4,28.29,1.77,95.7,6.24,11.20,9.5,0000000
0001,2012/09/01 02:00:00,7,-5.77,28.93,12.5,29.10,1.94,111.4,7.28,11.20,9.5,0000000
0001,2012/09/01 02:00:00,8,-6.77,28.88,12.3,29.25,1.86,109.5,7.16,11.20,9.5,0000000
0001,2012/09/01 02:00:00,9,-7.77,28.83,12.4,29.29,1.93,104.5,6.84,11.20,9.5,0000000
0001,2012/09/01 02:00:00,10,-8.77,28.72,11.2,29.29,1.90,87.1,5.71,11.20,9.5,0000000
0001,2012/09/01 02:00:00,11,-9.77,28.65,10.5,29.29,1.94,82.8,5.43,11.20,9.5,0000000
0001,2012/09/01 02:00:00,12,-9.97,28.59,9.5,29.28,2.17,79.4,5.21,11.20,9.5,0000000
0001,2012/09/01 03:00:00,0,1.03,30.21,11.1,26.43,3.20,99.7,6.48,11.50,9.5,0000000
0001,2012/09/01 03:00:00,1,0.53,30.12,11.5,26.57,3.17,100.9,6.56,11.50,9.5,0000000
0001,2012/09/01 03:00:00,2,-0.47,30.02,10.7,26.74,2.86,102.1,6.64,11.50,9.5,0000000
0001,2012/09/01 03:00:00,3,-1.47,30.04,11.3,27.56,2.08,108.7,7.04,11.50,9.5,0000000
0001,2012/09/01 03:00:00,4,-2.47,29.87,11.7,27.77,2.00,105.7,6.85,11.50,9.5,0000000
0001,2012/09/01 03:00:00,5,-3.47,29.07,11.1,28.70,1.83,107.0,6.99,11.50,9.5,0000000
0001,2012/09/01 03:00:00,6,-4.47,28.92,13.4,29.07,2.00,122.8,8.03,11.50,9.5,0000000
0001,2012/09/01 03:00:00,7,-5.47,28.86,13.7,29.13,2.02,123.0,8.05,11.50,9.5,0000000
0001,2012/09/01 03:00:00,8,-6.47,28.82,14.4,29.14,2.16,126.3,8.27,11.50,9.5,0000000
0001,2012/09/01 03:00:00,9,-7.47,28.83,13.4,29.26,2.04,112.0,7.32,11.50,9.5,0000000
0001,2012/09/01 03:00:00,10,-8.47,28.81,13.3,29.28,2.03,106.7,6.98,11.50,9.5,0000000
0001,2012/09/01 03:00:00,11,-9.47,28.79,12.9,29.30,2.05,103.5,6.77,11.50,9.5,0000000
0001,2012/09/01 03:00:00,12,-9.97,28.73,12.5,29.31,2.66,96.0,6.29,11.50,9.5,0000000
0001,2012/09/01 04:00:00,0,1.23,29.98,10.8,26.63,2.97,96.4,6.28,11.70,9.5,0000000
0001,2012/09/01 04:00:00,1,0.73,29.96,10.7,26.63,2.94,97.0,6.32,11.70,9.5,0000000
0001,2012/09/01 04:00:00,2,-0.27,29.96,10.0,26.87,2.63,98.3,6.40,11.70,9.5,0000000
0001,2012/09/01 04:00:00,3,-1.27,29.80,11.0,27.17,2.60,98.3,6.40,11.70,9.5,0000000
0001,2012/09/01 04:00:00,4,-2.27,29.67,11.4,27.57,2.26,97.6,6.36,11.70,9.5,0000000
0001,2012/09/01 04:00:00,5,-3.27,28.99,11.9,28.81,1.95,112.2,7.34,11.70,9.5,0000000
0001,2012/09/01 04:00:00,6,-4.27,28.86,12.7,29.19,2.05,111.7,7.31,11.70,9.5,0000000
0001,2012/09/01 04:00:00,7,-5.27,28.83,12.6,29.28,2.03,107.5,7.03,11.70,9.5,0000000
0001,2012/09/01 04:00:00,8,-6.27,28.82,12.5,29.30,2.06,105.9,6.93,11.70,9.5,0000000
0001,2012/09/01 04:00:00,9,-7.27,28.77,12.5,29.32,2.22,102.5,6.71,11.70,9.5,0000000
0001,2012/09/01 04:00:00,10,-8.27,28.65,12.2,29.35,2.49,87.0,5.71,11.70,9.5,0000000
0001,2012/09/01 04:00:00,11,-9.27,28.06,8.3,29.56,5.30,54.9,3.63,11.70,9.5,0000000
0001,2012/09/01 04:00:00,12,-9.97,27.71,6.1,29.70,7.80,26.1,1.73,11.70,9.5,0000000
0001,2012/09/01 05:00:00,0,1.23,30.25,10.4,26.73,2.86,89.5,5.80,11.70,9.5,0000000
0001,2012/09/01 05:00:00,1,0.73,30.27,10.7,26.75,2.86,89.7,5.81,11.70,9.5,0000000
0001,2012/09/01 05:00:00,2,-0.27,30.22,11.1,26.93,2.72,91.7,5.94,11.70,9.5,0000000
0001,2012/09/01 05:00:00,3,-1.27,30.17,11.4,27.06,2.61,93.9,6.09,11.70,9.5,0000000
0001,2012/09/01 05:00:00,4,-2.27,29.80,11.7,27.56,2.58,97.2,6.32,11.70,9.5,0000000
0001,2012/09/01 05:00:00,5,-3.27,28.85,13.1,29.17,2.14,106.6,6.97,11.70,9.5,0000000
0001,2012/09/01 05:00:00,6,-4.27,28.83,13.2,29.21,2.11,106.7,6.98,11.70,9.5,0000000
0001,2012/09/01 05:00:00,7,-5.27,28.78,13.3,29.34,2.19,104.3,6.83,11.70,9.5,0000000
0001,2012/09/01 05:00:00,8,-6.27,28.75,12.5,29.35,2.21,101.2,6.63,11.70,9.5,0000000
0001,2012/09/01 05:00:00,9,-7.27,28.71,12.1,29.36,2.34,95.5,6.25,11.70,9.5,0000000
0001,2012/09/01 05:00:00,10,-8.27,28.70,12.3,29.36,2.37,94.0,6.16,11.70,9.5,0000000
0001,2012/09/01 05:00:00,11,-9.27,28.50,11.2,29.42,3.03,79.4,5.22,11.70,9.5,0000000
0001,2012/09/01 05:00:00,12,-9.97,27.39,4.8,29.86,7.36,20.6,1.37,11.70,9.5,0000000
0001,2012/09/01 06:00:00,0,1.13,30.18,9.2,26.60,3.06,87.1,5.66,11.60,9.5,0000000
0001,2012/09/01 06:00:00,1,0.63,30.17,9.2,26.57,3.06,86.9,5.65,11.60,9.5,0000000
0001,2012/09/01 06:00:00,2,-0.37,30.21,9.9,26.71,2.99,86.9,5.64,11.60,9.5,0000000
0001,2012/09/01 06:00:00,3,-1.37,30.28,10.6,26.99,2.80,87.6,5.66,11.60,9.5,0000000
0001,2012/09/01 06:00:00,4,-2.37,29.36,12.6,28.19,2.26,102.0,6.65,11.60,9.5,0000000
0001,2012/09/01 06:00:00,5,-3.37,28.93,13.1,29.00,2.05,118.8,7.77,11.60,9.5,0000000
0001,2012/09/01 06:00:00,6,-4.37,28.83,13.3,29.17,2.23,108.0,7.07,11.60,9.5,0000000
0001,2012/09/01 06:00:00,7,-5.37,28.75,12.9,29.35,2.21,99.5,6.51,11.60,9.5,0000000
0001,2012/09/01 06:00:00,8,-6.37,28.72,12.6,29.42,2.15,97.0,6.35,11.60,9.5,0000000
0001,2012/09/01 06:00:00,9,-7.37,28.62,11.8,29.42,2.45,84.9,5.57,11.60,9.5,0000000
0001,2012/09/01 06:00:00,10,-8.37,28.55,11.4,29.43,2.69,81.8,5.37,11.60,9.5,0000000
0001,2012/09/01 06:00:00,11,-9.37,28.52,11.3,29.43,2.74,76.6,5.03,11.60,9.5,0000000
0001,2012/09/01 06:00:00,12,-9.97,27.33,4.8,29.91,7.94,14.8,0.99,11.60,9.5,0000000
0001,2012/09/01 07:00:00,0,0.93,30.11,10.5,26.49,3.40,92.5,6.02,11.40,9.5,0000000
0001,2012/09/01 07:00:00,1,0.43,30.11,10.2,26.49,3.38,92.1,5.99,11.40,9.5,0000000
0001,2012/09/01 07:00:00,2,-0.57,30.10,10.7,26.49,3.41,91.5,5.95,11.40,9.5,0000000
0001,2012/09/01 07:00:00,3,-1.57,30.05,11.0,26.59,3.41,87.5,5.70,11.40,9.5,0000000
0001,2012/09/01 07:00:00,4,-2.57,29.48,10.8,27.66,2.55,85.7,5.60,11.40,9.5,0000000
