STATION,DATE & TIME,V-MAX(m/s),V-AVE(m/s),D-MAX(deg),D-AVE(deg),VOLT(V),STATUS
0001,2007/05/01 00:00:00,8.3,4.2,181,189,11.5,00
0001,2007/05/01 00:15:00,8.1,4.4,198,191,11.5,00
0001,2007/05/01 00:30:00,8.5,3.6,192,185,11.5,00
0001,2007/05/01 00:45:00,8.3,4.0,181,181,11.5,00
0001,2007/05/01 01:00:00,7.0,4.4,185,177,11.5,00
0001,2007/05/01 01:15:00,8.0,4.2,189,181,11.5,00
0001,2007/05/01 01:30:00,8.1,4.4,177,175,11.5,00
0001,2007/05/01 01:45:00,8.2,3.8,170,182,11.5,00
0001,2007/05/01 02:00:00,9.2,3.6,192,185,11.5,00
0001,2007/05/01 02:15:00,9.6,5.4,181,192,11.5,00
0001,2007/05/01 02:30:00,9.9,5.8,198,195,11.5,00
0001,2007/05/01 02:45:00,10.2,5.0,177,188,11.5,00
0001,2007/05/01 03:00:00,10.0,5.0,185,188,11.5,00
0001,2007/05/01 03:15:00,10.0,4.4,181,189,11.5,00
0001,2007/05/01 03:30:00,8.2,3.6,189,189,11.5,00
0001,2007/05/01 03:45:00,9.6,4.4,191,188,11.5,00
0001,2007/05/01 04:00:00,10.8,6.2,192,196,11.5,00
0001,2007/05/01 04:15:00,9.1,5.6,198,195,11.5,00
0001,2007/05/01 04:30:00,9.7,4.3,189,191,11.5,00
0001,2007/05/01 04:45:00,10.7,5.4,191,194,11.5,00
0001,2007/05/01 05:00:00,9.4,4.0,177,187,11.5,00
0001,2007/05/01 05:15:00,9.4,3.0,195,180,11.5,00
0001,2007/05/01 05:30:00,8.5,3.8,174,182,11.5,00
0001,2007/05/01 05:45:00,9.1,4.2,177,182,11.5,00
0001,2007/05/01 06:00:00,8.3,3.6,175,182,11.5,00
0001,2007/05/01 06:15:00,8.0,3.2,181,180,11.5,00
0001,2007/05/01 06:30:00,9.1,3.6,178,182,11.5,00
0001,2007/05/01 06:45:00,10.0,4.1,185,184,11.5,00
0001,2007/05/01 07:00:00,10.8,5.4,192,194,11.5,00
0001,2007/05/01 07:15:00,11.1,6.0,202,192,11.5,00
0001,2007/05/01 07:30:00,9.8,4.8,188,196,11.5,00
0001,2007/05/01 07:45:00,11.1,6.8,195,199,11.5,00
0001,2007/05/01 08:00:00,12.6,7.4,192,192,11.5,00
0001,2007/05/01 08:15:00,12.8,8.3,195,196,11.5,00
0001,2007/05/01 08:30:00,13.6,8.8,192,199,11.5,00
0001,2007/05/01 08:45:00,12.6,9.2,215,202,11.5,00
0001,2007/05/01 09:00:00,10.9,7.6,209,203,11.5,00
0001,2007/05/01 09:15:00,12.3,8.9,208,209,11.5,00
0001,2007/05/01 09:30:00,13.5,10.0,212,208,11.5,00
0001,2007/05/01 09:45:00,12.7,9.4,212,206,11.5,00
0001,2007/05/01 10:00:00,11.8,8.1,201,202,11.5,00
0001,2007/05/01 10:15:00,15.6,9.9,210,205,11.5,00
0001,2007/05/01 10:30:00,17.1,13.2,215,215,11.5,00
0001,2007/05/01 10:45:00,17.6,12.6,212,208,11.5,00
0001,2007/05/01 11:00:00,17.0,13.4,212,210,11.5,00
0001,2007/05/01 11:15:00,17.5,12.8,212,215,11.5,00
0001,2007/05/01 11:30:00,15.9,12.2,219,219,11.5,00
0001,2007/05/01 11:45:00,16.3,12.6,219,215,11.5,00
0001,2007/05/01 12:00:00,15.1,11.6,215,212,11.5,00
0001,2007/05/01 12:15:00,15.8,12.2,212,213,11.5,00
0001,2007/05/01 12:30:00,15.1,11.2,212,212,11.5,00
0001,2007/05/01 12:45:00,12.9,9.4,215,210,11.5,00
0001,2007/05/01 13:00:00,11.0,6.8,192,195,11.5,00
