STATION0,DATE & TIME,SEQ_NO,DEPTH(m.DL),TEMP(deg),Chl-a(ug/l),SAL(psu),SS(mg/l),DO(%),DO(mg/l),BOTTOM(m),VOLT(V),STATUS
0001,2016/03/24 12:00:00,0,0.00,14.38,5.3,31.55,1.70,101.0,8.49,2.10,9.6,1230001
0001,2016/03/24 12:00:00,1,-1.00,14.26,6.0,31.55,1.80,103.8,8.75,2.10,9.6,1230001
0001,2016/03/24 12:00:00,2,-2.00,13.63,7.0,31.64,1.87,108.8,9.28,2.10,9.6,1230001
0001,2016/03/24 12:00:00,3,-3.00,13.68,7.1,31.63,9.36,110.1,9.38,2.10,9.6,1230001
