STATION,DATE & TIME,SEQ_NO,DEPTH(m.DL),V-E(cm/s),V-N(cm/s),V-UD(cm/s),R-E( ),R-N( ),R-UD( ),BOTTOM(m),VOLT(V),STATUS
0001,2006/05/01 00:00:00,1,-10.60,-10.5,0.6,0.8,42,64,63,11.92,9.8,00016
0001,2006/05/01 00:00:00,2,-9.60,-1,10.4,-1,32,42,48,11.92,9.8,00016
0001,2006/05/01 00:00:00,3,-8.60,4.9,13.4,-3.5,29,35,27,11.92,9.8,00016
0001,2006/05/01 00:00:00,4,-7.60,1.5,6.1,-1.2,29,33,252,11.92,9.8,00016
0001,2006/05/01 00:00:00,5,-6.60,12.6,16.6,-8.2,28,31,172,11.92,9.8,00016
0001,2006/05/01 00:00:00,6,-5.60,1.4,-4,0.7,48,48,122,11.92,9.8,00016
0001,2006/05/01 00:00:00,7,-4.60,1.2,1.6,1,55,70,223,11.92,9.8,00016
0001,2006/05/01 00:00:00,8,-3.60,-6,-2.9,-0.8,61,83,79,11.92,9.8,00016
0001,2006/05/01 00:00:00,9,-2.60,2.1,-0.8,1.7,62,80,255,11.92,9.8,00016
0001,2006/05/01 00:00:00,10,-1.60,3.3,-2.2,3.5,68,80,255,11.92,9.8,00016
0001,2006/05/01 01:00:00,1,-10.60,0,-3.3,-1.4,49,65,53,11.91,9.8,00016
0001,2006/05/01 01:00:00,2,-9.60,-1.2,3.8,0.6,40,44,42,11.91,9.8,00016
0001,2006/05/01 01:00:00,3,-8.60,-0.7,2,0,31,36,27,11.91,9.8,00016
0001,2006/05/01 01:00:00,4,-7.60,9.3,19,-2.6,28,32,252,11.91,9.8,00016
0001,2006/05/01 01:00:00,5,-6.60,-0.1,-9.5,3.3,29,30,172,11.91,9.8,00016
0001,2006/05/01 01:00:00,6,-5.60,-20.4,3.8,10.7,54,37,122,11.91,9.8,00016
0001,2006/05/01 01:00:00,7,-4.60,4.8,-10.5,-3.4,47,59,223,11.91,9.8,00016
0001,2006/05/01 01:00:00,8,-3.60,-3.4,0.2,-3.5,44,64,79,11.91,9.8,00016
0001,2006/05/01 01:00:00,9,-2.60,-3.2,5.9,0.4,50,82,255,11.91,9.8,00016
0001,2006/05/01 01:00:00,10,-1.60,-8,-4.6,3.3,68,88,255,11.91,9.8,00016
0001,2006/05/01 02:00:00,1,-10.60,-2.1,-1.8,1,39,50,47,12.06,9.8,00016
0001,2006/05/01 02:00:00,2,-9.60,0.9,0.5,1.4,36,39,40,12.06,9.8,00016
0001,2006/05/01 02:00:00,3,-8.60,1.5,17,-4.5,29,32,27,12.06,9.8,00016
0001,2006/05/01 02:00:00,4,-7.60,-1.6,10.7,-4.7,28,30,252,12.06,9.8,00016
0001,2006/05/01 02:00:00,5,-6.60,13.1,1,-8.5,28,29,172,12.06,9.8,00016
0001,2006/05/01 02:00:00,6,-5.60,0,-14.2,3.9,48,39,122,12.06,9.8,00016
0001,2006/05/01 02:00:00,7,-4.60,3.8,-11.5,1.6,54,52,223,12.06,9.8,00016
0001,2006/05/01 02:00:00,8,-3.60,-4.8,-3.2,2.8,52,52,79,12.06,9.8,00016
0001,2006/05/01 02:00:00,9,-2.60,-4.6,-2.4,1.5,53,66,255,12.06,9.8,00016
0001,2006/05/01 02:00:00,10,-1.60,-7.8,-2.6,2,65,73,255,12.06,9.8,00016
0001,2006/05/01 03:00:00,1,-10.60,0.2,4.3,1.5,38,58,50,12.31,9.8,00016
0001,2006/05/01 03:00:00,2,-9.60,4.5,3.5,0.2,32,43,42,12.31,9.8,00016
0001,2006/05/01 03:00:00,3,-8.60,6.7,3.7,-0.5,29,34,27,12.31,9.8,00016
0001,2006/05/01 03:00:00,4,-7.60,-5.1,7,-1.8,32,33,252,12.31,9.8,00016
0001,2006/05/01 03:00:00,5,-6.60,-4.2,0.2,-2.6,29,35,172,12.31,9.8,00016
0001,2006/05/01 03:00:00,6,-5.60,5.6,25.9,4.6,45,45,122,12.31,9.8,00016
0001,2006/05/01 03:00:00,7,-4.60,1.6,20.7,2.7,49,53,223,12.31,9.8,00016
0001,2006/05/01 03:00:00,8,-3.60,2.1,0.7,1.3,46,48,79,12.31,9.8,00016
0001,2006/05/01 03:00:00,9,-2.60,8.7,-0.4,4.9,56,55,255,12.31,9.8,00016
0001,2006/05/01 03:00:00,10,-1.60,2.2,-3.8,1.7,63,65,255,12.31,9.8,00016
0001,2006/05/01 04:00:00,1,-10.60,2.4,0,1.1,36,52,54,12.58,9.8,00016
0001,2006/05/01 04:00:00,2,-9.60,5.4,1.5,1.3,32,39,43,12.58,9.8,00016
0001,2006/05/01 04:00:00,3,-8.60,1.6,0.8,3.3,37,44,27,12.58,9.8,00016
0001,2006/05/01 04:00:00,4,-7.60,-0.1,2.8,2.5,35,41,252,12.58,9.8,00016
0001,2006/05/01 04:00:00,5,-6.60,-0.1,-1.7,3.8,30,36,172,12.58,9.8,00016
0001,2006/05/01 04:00:00,6,-5.60,24.3,-1.4,-2.7,43,44,122,12.58,9.8,00016
0001,2006/05/01 04:00:00,7,-4.60,-5.4,12.7,-6.7,43,51,223,12.58,9.8,00016
0001,2006/05/01 04:00:00,8,-3.60,-1.8,-7.8,8.7,44,46,79,12.58,9.8,00016
0001,2006/05/01 04:00:00,9,-2.60,11.1,1.6,7.6,39,50,255,12.58,9.8,00016
0001,2006/05/01 04:00:00,10,-1.60,-2,-0.2,2.4,53,57,255,12.58,9.8,00016
0001,2006/05/01 05:00:00,1,-10.60,-5.4,3.8,1.8,45,59,58,12.75,9.8,00016
0001,2006/05/01 05:00:00,2,-9.60,-6.3,1.1,0.9,46,52,55,12.75,9.8,00016
0001,2006/05/01 05:00:00,3,-8.60,-6.1,-2.1,1.1,52,67,27,12.75,9.8,00016
0001,2006/05/01 05:00:00,4,-7.60,-0.3,-4.5,0.2,44,50,252,12.75,9.8,00016
0001,2006/05/01 05:00:00,5,-6.60,5.2,1.3,-1.3,38,45,172,12.75,9.8,00016
0001,2006/05/01 05:00:00,6,-5.60,4.1,-11.9,-1.9,46,48,122,12.75,9.8,00016
