STATION,DATE & TIME,SEQ_NO,DEPTH(m.DL),V-E(cm/s),V-N(cm/s),V-UD(cm/s),R-E( ),R-N( ),R-UD( ),BOTTOM(m),VOLT(V),STATUS
0001,2009/05/01 00:00:00,1,-10.60,0,1.1,1,128,128,131,12.35,10.0,00032
0001,2009/05/01 00:00:00,2,-9.60,2.3,1.1,0.7,113,113,118,12.35,10.0,00032
0001,2009/05/01 00:00:00,3,-8.60,1.4,0,1.8,108,107,109,12.35,10.0,00032
0001,2009/05/01 00:00:00,4,-7.60,-3.1,-2.5,1.9,102,102,103,12.35,10.0,00032
0001,2009/05/01 00:00:00,5,-6.60,-2.3,-10.4,3,98,98,98,12.35,10.0,00032
0001,2009/05/01 00:00:00,6,-5.60,0.9,-12.9,1.7,101,99,96,12.35,10.0,00032
0001,2009/05/01 00:00:00,7,-4.60,-3,-15.7,1.7,107,97,97,12.35,10.0,00032
0001,2009/05/01 00:00:00,8,-3.60,5.5,-13.3,-0.2,112,95,111,12.35,10.0,00032
0001,2009/05/01 00:00:00,9,-2.60,6.4,-13.8,0.8,111,94,116,12.35,10.0,00032
0001,2009/05/01 00:00:00,10,-1.60,5,-7.8,1,112,98,124,12.35,10.0,00032
0001,2009/05/01 01:00:00,1,-10.60,3.2,-1.5,-0.5,124,125,126,12.23,10.0,00032
0001,2009/05/01 01:00:00,2,-9.60,2.5,2.9,0.5,112,114,113,12.23,10.0,00032
0001,2009/05/01 01:00:00,3,-8.60,0,-1.4,1.5,104,104,106,12.23,10.0,00032
0001,2009/05/01 01:00:00,4,-7.60,0.7,-2.1,0.5,99,100,100,12.23,10.0,00032
0001,2009/05/01 01:00:00,5,-6.60,2.5,-4.4,0.6,95,95,94,12.23,10.0,00032
0001,2009/05/01 01:00:00,6,-5.60,-0.9,-6,0.9,91,90,91,12.23,10.0,00032
0001,2009/05/01 01:00:00,7,-4.60,4.4,-9.2,0.9,92,92,97,12.23,10.0,00032
0001,2009/05/01 01:00:00,8,-3.60,6.3,-9.4,0.6,95,99,119,12.23,10.0,00032
0001,2009/05/01 01:00:00,9,-2.60,3.8,-6.5,0.9,102,101,119,12.23,10.0,00032
0001,2009/05/01 01:00:00,10,-1.60,6.5,-12.5,1.5,112,107,124,12.23,10.0,00032
0001,2009/05/01 02:00:00,1,-10.60,5.5,0.7,-0.5,123,126,128,12.18,10.0,00032
0001,2009/05/01 02:00:00,2,-9.60,4.3,5.6,0.9,123,114,117,12.18,10.0,00032
0001,2009/05/01 02:00:00,3,-8.60,2.4,0.5,0.7,109,104,109,12.18,10.0,00032
0001,2009/05/01 02:00:00,4,-7.60,0.6,-1,0.2,100,98,102,12.18,10.0,00032
0001,2009/05/01 02:00:00,5,-6.60,0.7,1.6,0.2,94,92,104,12.18,10.0,00032
0001,2009/05/01 02:00:00,6,-5.60,0.9,0.1,1.4,89,88,94,12.18,10.0,00032
0001,2009/05/01 02:00:00,7,-4.60,0,-3.8,1,92,86,113,12.18,10.0,00032
0001,2009/05/01 02:00:00,8,-3.60,8.1,-9.8,1.5,102,86,120,12.18,10.0,00032
0001,2009/05/01 02:00:00,9,-2.60,4.4,-10.1,1.8,105,89,122,12.18,10.0,00032
0001,2009/05/01 02:00:00,10,-1.60,7.1,-6.8,1.2,111,103,122,12.18,10.0,00032
0001,2009/05/01 03:00:00,1,-10.60,0.9,-0.7,2.6,126,126,130,12.19,10.0,00032
0001,2009/05/01 03:00:00,2,-9.60,5.8,2.4,1.9,115,114,117,12.19,10.0,00032
0001,2009/05/01 03:00:00,3,-8.60,8.3,-0.3,1.3,104,103,106,12.19,10.0,00032
0001,2009/05/01 03:00:00,4,-7.60,2.6,1.4,0.7,98,97,101,12.19,10.0,00032
