STATION,DATE & TIME,V-MAX(m/s),V-AVE(m/s),D-MAX(deg),D-AVE(deg),VOLT(V),STATUS
0001,2017/05/01 00:00:00,10.0,7.8,220,223,11.5,00
0001,2017/05/01 00:15:00,9.8,6.6,219,225,11.5,00
0001,2017/05/01 00:30:00,9.4,7.4,222,222,11.5,00
0001,2017/05/01 00:45:00,8.7,7.0,225,225,11.5,00
0001,2017/05/01 01:00:00,8.4,5.6,219,216,11.5,00
0001,2017/05/01 01:15:00,6.6,5.2,223,219,11.5,00
0001,2017/05/01 01:30:00,8.3,6.8,209,210,11.5,00
0001,2017/05/01 01:45:00,8.0,6.6,212,215,11.5,00
0001,2017/05/01 02:00:00,7.1,5.6,213,217,11.5,00
0001,2017/05/01 02:15:00,6.2,5.2,220,225,11.5,00
0001,2017/05/01 02:30:00,7.9,6.4,216,220,11.5,00
0001,2017/05/01 02:45:00,7.2,5.6,219,213,11.5,00
0001,2017/05/01 03:00:00,6.6,5.0,203,206,11.5,00
0001,2017/05/01 03:15:00,7.4,6.4,215,215,11.5,00
0001,2017/05/01 03:30:00,7.5,6.4,210,216,11.5,00
0001,2017/05/01 03:45:00,7.3,6.2,217,219,11.5,00
0001,2017/05/01 04:00:00,7.3,6.0,219,222,11.5,00
0001,2017/05/01 04:15:00,5.6,3.7,223,215,11.5,00
0001,2017/05/01 04:30:00,5.1,4.2,220,222,11.5,00
0001,2017/05/01 04:45:00,4.4,2.8,222,233,11.5,00
0001,2017/05/01 05:00:00,4.0,3.2,240,237,11.5,00
0001,2017/05/01 05:15:00,4.0,3.4,257,254,11.5,00
0001,2017/05/01 05:30:00,4.1,2.9,260,264,11.5,00
0001,2017/05/01 05:45:00,4.1,3.6,270,264,11.5,00
0001,2017/05/01 06:00:00,4.0,3.2,260,254,11.5,00
0001,2017/05/01 06:15:00,4.1,2.4,262,267,11.5,00
0001,2017/05/01 06:30:00,3.8,1.7,254,274,11.5,00
0001,2017/05/01 06:45:00,2.3,1.8,265,264,11.5,00
0001,2017/05/01 07:00:00,1.9,1.2,270,275,11.5,00
0001,2017/05/01 07:15:00,1.6,0.8,267,281,11.5,00
0001,2017/05/01 07:30:00,2.2,2.0,288,289,11.5,00
0001,2017/05/01 07:45:00,2.1,1.6,285,277,11.5,00
0001,2017/05/01 08:00:00,1.5,0.6,258,251,11.5,00
0001,2017/05/01 08:15:00,1.2,0.2,268,254,11.5,00
0001,2017/05/01 08:30:00,1.9,1.4,281,282,11.5,00
0001,2017/05/01 08:45:00,2.3,1.8,285,285,11.5,00
0001,2017/05/01 09:00:00,3.7,2.9,303,296,11.5,00
0001,2017/05/01 09:15:00,2.9,2.0,300,286,11.5,00
0001,2017/05/01 09:30:00,1.7,1.4,265,267,11.5,00
0001,2017/05/01 09:45:00,1.8,0.4,270,267,11.5,00
0001,2017/05/01 10:00:00,1.6,0.2,168,160,11.5,00
0001,2017/05/01 10:15:00,1.9,1.6,237,233,11.5,00
0001,2017/05/01 10:30:00,1.9,1.6,268,262,11.5,00
0001,2017/05/01 10:45:00,1.7,0.8,265,270,11.5,00
0001,2017/05/01 11:00:00,1.5,0.8,230,244,11.5,00
0001,2017/05/01 11:15:00,3.2,2.4,262,262,11.5,00
0001,2017/05/01 11:30:00,4.7,3.8,247,246,11.5,00
0001,2017/05/01 11:45:00,4.5,3.8,237,239,11.5,00
0001,2017/05/01 12:00:00,4.7,4.0,240,237,11.5,00
0001,2017/05/01 12:15:00,5.1,4.2,241,236,11.5,00
0001,2017/05/01 12:30:00,4.3,3.2,230,234,11.5,00
0001,2017/05/01 12:45:00,4.0,3.2,232,217,11.5,00
0001,2017/05/01 13:00:00,4.0,3.2,217,219,11.5,00
0001,2017/05/01 13:15:00,5.9,4.4,223,217,11.5,00
0001,2017/05/01 13:30:00,6.7,5.6,234,237,11.5,00
0001,2017/05/01 13:45:00,8.6,5.8,270,257,11.5,00
0001,2017/05/01 14:00:00,13.4,10.0,277,274,11.5,00
0001,2017/05/01 14:15:00,12.3,8.6,300,281,11.5,00
0001,2017/05/01 14:30:00,15.2,11.4,341,357,11.5,00
