STATION0,DATE & TIME,SEQ_NO,DEPTH(m.DL),TEMP(deg),Chl-a(ug/l),SAL(psu),SS(mg/l),DO(%),DO(mg/l),BOTTOM(m),VOLT(V),STATUS
0001,2018/05/01 07:00:00,0,0.63,19.20,10.2,29.19,2.18,150.4,11.66,11.10,9.5,0000000
0001,2018/05/01 07:00:00,1,0.13,19.19,11.2,29.20,2.23,150.7,11.68,11.10,9.5,0000000
0001,2018/05/01 07:00:00,2,-0.87,19.16,12.8,29.20,2.35,148.2,11.50,11.10,9.5,0000000
0001,2018/05/01 07:00:00,3,-1.87,19.16,13.8,29.20,2.44,147.1,11.42,11.10,9.5,0000000
0001,2018/05/01 07:00:00,4,-2.87,19.15,15.0,29.20,2.44,147.4,11.44,11.10,9.5,0000000
0001,2018/05/01 07:00:00,5,-3.87,19.11,17.3,29.19,2.69,149.6,11.62,11.10,9.5,0000000
0001,2018/05/01 07:00:00,6,-4.87,19.09,15.9,29.19,2.52,150.3,11.68,11.10,9.5,0000000
0001,2018/05/01 07:00:00,7,-5.87,19.14,11.9,29.22,2.06,148.2,11.50,11.10,9.5,0000000
0001,2018/05/01 07:00:00,8,-6.87,19.06,12.8,29.56,1.89,122.7,9.52,11.10,9.5,0000000
0001,2018/05/01 07:00:00,9,-7.87,18.92,14.8,29.70,2.06,116.1,9.02,11.10,9.5,0000000
0001,2018/05/01 07:00:00,10,-8.87,17.58,8.7,30.89,1.18,60.8,4.81,11.10,9.5,0000000
0001,2018/05/01 07:00:00,11,-9.87,17.09,6.7,31.51,1.72,52.9,4.21,11.10,9.5,0000000
0001,2018/05/01 07:00:00,12,-9.97,16.90,4.7,31.74,2.18,48.4,3.86,11.10,9.5,0000000
0001,2018/05/01 08:00:00,0,0.43,19.37,8.4,29.20,2.52,161.8,12.50,10.90,9.5,0000000
0001,2018/05/01 08:00:00,1,-0.07,19.30,11.1,29.20,2.52,159.6,12.35,10.90,9.5,0000000
0001,2018/05/01 08:00:00,2,-1.07,19.21,13.9,29.19,2.69,156.8,12.15,10.90,9.5,0000000
0001,2018/05/01 08:00:00,3,-2.07,19.20,13.9,29.19,2.64,155.1,12.02,10.90,9.5,0000000
0001,2018/05/01 08:00:00,4,-3.07,19.17,15.5,29.19,2.56,151.7,11.77,10.90,9.5,0000000
0001,2018/05/01 08:00:00,5,-4.07,19.12,15.2,29.19,2.35,146.6,11.39,10.90,9.5,0000000
0001,2018/05/01 08:00:00,6,-5.07,19.13,12.1,29.20,2.06,144.3,11.21,10.90,9.5,0000000
0001,2018/05/01 08:00:00,7,-6.07,19.20,8.9,29.24,1.55,140.9,10.92,10.90,9.5,0000000
0001,2018/05/01 08:00:00,8,-7.07,19.02,11.9,29.47,1.68,131.8,10.23,10.90,9.5,0000000
0001,2018/05/01 08:00:00,9,-8.07,18.74,16.6,29.84,2.06,105.1,8.19,10.90,9.5,0000000
0001,2018/05/01 08:00:00,10,-9.07,17.52,10.2,30.92,1.39,58.1,4.60,10.90,9.5,0000000
0001,2018/05/01 08:00:00,11,-9.97,16.69,4.2,31.95,3.19,40.5,3.25,10.90,9.5,0000000
0001,2018/05/01 09:00:00,0,0.13,19.51,8.8,29.20,2.94,170.8,13.16,10.60,9.5,0000000
0001,2018/05/01 09:00:00,1,-0.37,19.47,10.8,29.19,2.98,171.9,13.26,10.60,9.5,0000000
0001,2018/05/01 09:00:00,2,-1.37,19.35,16.4,29.19,3.44,168.4,13.02,10.60,9.5,0000000
0001,2018/05/01 09:00:00,3,-2.37,19.26,16.9,29.19,3.06,160.1,12.40,10.60,9.5,0000000
0001,2018/05/01 09:00:00,4,-3.37,19.21,15.1,29.20,2.60,156.2,12.11,10.60,9.5,0000000
0001,2018/05/01 09:00:00,5,-4.37,19.19,15.0,29.21,2.35,149.0,11.56,10.60,9.5,0000000
0001,2018/05/01 09:00:00,6,-5.37,19.15,9.4,29.21,1.68,141.9,11.01,10.60,9.5,0000000
0001,2018/05/01 09:00:00,7,-6.37,19.11,10.1,29.40,1.60,131.6,10.21,10.60,9.5,0000000
0001,2018/05/01 09:00:00,8,-7.37,18.92,14.1,29.68,1.85,115.0,8.94,10.60,9.5,0000000
0001,2018/05/01 09:00:00,9,-8.37,18.21,14.2,30.36,2.02,88.9,6.97,10.60,9.5,0000000
0001,2018/05/01 09:00:00,10,-9.37,17.72,11.9,30.76,2.10,65.6,5.18,10.60,9.5,0000000
0001,2018/05/01 09:00:00,11,-9.97,16.80,5.2,31.79,2.85,43.2,3.45,10.60,9.5,0000000
0001,2018/05/01 10:00:00,0,-0.37,19.74,9.8,29.21,4.03,182.8,14.03,10.10,9.5,0000000
0001,2018/05/01 10:00:00,1,-0.87,19.51,24.6,29.17,5.70,194.9,15.03,10.10,9.5,0000000
0001,2018/05/01 10:00:00,2,-1.87,19.37,26.4,29.18,4.61,181.0,13.99,10.10,9.5,0000000
0001,2018/05/01 10:00:00,3,-2.87,19.27,17.6,29.18,2.94,160.4,12.42,10.10,9.5,0000000
0001,2018/05/01 10:00:00,4,-3.87,19.21,14.0,29.19,2.35,149.7,11.60,10.10,9.5,0000000
0001,2018/05/01 10:00:00,5,-4.87,19.18,8.3,29.20,1.68,146.1,11.33,10.10,9.5,0000000
0001,2018/05/01 10:00:00,6,-5.87,19.22,7.5,29.27,1.51,138.4,10.72,10.10,9.5,0000000
0001,2018/05/01 10:00:00,7,-6.87,19.03,12.5,29.50,1.68,123.1,9.55,10.10,9.5,0000000
0001,2018/05/01 10:00:00,8,-7.87,18.78,15.4,29.78,1.97,108.0,8.41,10.10,9.5,0000000
0001,2018/05/01 10:00:00,9,-8.87,17.72,12.9,30.77,1.81,69.1,5.46,10.10,9.5,0000000
0001,2018/05/01 10:00:00,10,-9.87,16.80,5.4,31.63,2.81,43.7,3.50,10.10,9.5,0000000
0001,2018/05/01 10:00:00,11,-9.97,16.63,5.0,31.92,3.40,31.5,2.53,10.10,9.5,0000000
0001,2018/05/01 11:00:00,0,-0.47,19.76,15.6,29.19,6.62,204.8,15.71,10.00,9.5,0000000
0001,2018/05/01 11:00:00,1,-0.97,19.51,31.7,29.17,7.00,209.4,16.14,10.00,9.5,0000000
0001,2018/05/01 11:00:00,2,-1.97,19.38,16.3,29.19,3.61,165.4,12.78,10.00,9.5,0000000
0001,2018/05/01 11:00:00,3,-2.97,19.31,14.3,29.18,3.19,157.0,12.14,10.00,9.5,0000000
0001,2018/05/01 11:00:00,4,-3.97,19.26,9.6,29.19,2.64,149.1,11.55,10.00,9.5,0000000
0001,2018/05/01 11:00:00,5,-4.97,19.22,8.0,29.20,2.39,144.3,11.18,10.00,9.5,0000000
0001,2018/05/01 11:00:00,6,-5.97,19.18,9.0,29.27,2.27,140.5,10.89,10.00,9.5,0000000
0001,2018/05/01 11:00:00,7,-6.97,19.20,9.4,29.25,1.60,138.2,10.71,10.00,9.5,0000000
0001,2018/05/01 11:00:00,8,-7.97,18.94,13.5,29.60,1.76,117.6,9.14,10.00,9.5,0000000
0001,2018/05/01 11:00:00,9,-8.97,18.45,16.3,30.06,2.02,85.1,6.66,10.00,9.5,0000000
0001,2018/05/01 11:00:00,10,-9.97,16.54,5.2,32.04,3.99,28.8,2.31,10.00,9.5,0000000
0001,2018/05/01 12:00:00,0,-0.67,20.69,9.2,29.14,4.61,201.0,15.16,9.80,9.5,0000000
0001,2018/05/01 12:00:00,1,-1.17,19.90,26.4,29.15,7.42,226.4,17.33,9.80,9.5,0000000
0001,2018/05/01 12:00:00,2,-2.17,19.60,29.3,29.16,5.87,210.0,16.17,9.80,9.5,0000000
0001,2018/05/01 12:00:00,3,-3.17,19.40,12.0,29.18,2.35,164.3,12.69,9.80,9.5,0000000
0001,2018/05/01 12:00:00,4,-4.17,19.26,8.3,29.18,1.85,154.7,11.98,9.80,9.5,0000000
0001,2018/05/01 12:00:00,5,-5.17,19.25,7.6,29.20,1.64,145.9,11.30,9.80,9.5,0000000
0001,2018/05/01 12:00:00,6,-6.17,19.08,9.6,29.39,1.47,134.5,10.44,9.80,9.5,0000000
0001,2018/05/01 12:00:00,7,-7.17,18.94,13.3,29.60,1.64,121.5,9.45,9.80,9.5,0000000
0001,2018/05/01 12:00:00,8,-8.17,18.40,18.7,30.14,2.06,90.6,7.09,9.80,9.5,0000000
0001,2018/05/01 12:00:00,9,-9.17,17.88,14.9,30.60,1.76,77.8,6.13,9.80,9.5,0000000
0001,2018/05/01 12:00:00,10,-9.97,16.45,4.8,32.35,5.16,23.4,1.88,9.80,9.5,0000000
0001,2018/05/01 14:00:00,0,0.23,22.09,14.1,29.19,6.58,229.5,16.87,10.70,9.5,1410003
0001,2018/05/01 14:00:00,1,-0.27,20.90,23.8,29.21,6.92,238.8,17.93,10.70,9.5,1410003
0001,2018/05/01 14:00:00,2,-1.27,19.37,5.9,29.17,1.55,162.4,12.55,10.70,9.5,1410003
0001,2018/05/01 14:00:00,3,-2.27,19.29,6.2,29.19,1.51,150.6,11.66,10.70,9.5,1410003
0001,2018/05/01 14:00:00,4,-3.27,19.16,7.9,29.29,1.43,143.5,11.13,10.70,9.5,1410003
0001,2018/05/01 14:00:00,5,-4.27,19.04,7.8,29.32,1.26,144.1,11.20,10.70,9.5,1410003
0001,2018/05/01 14:00:00,6,-5.27,18.91,7.6,29.36,1.22,146.8,11.43,10.70,9.5,1410003
0001,2018/05/01 14:00:00,7,-6.27,18.79,9.5,29.48,1.26,136.3,10.63,10.70,9.5,1410003
0001,2018/05/01 14:00:00,8,-7.27,18.75,14.7,29.85,1.72,105.0,8.18,10.70,9.5,1410003
0001,2018/05/01 14:00:00,9,-8.27,17.92,15.7,30.60,1.81,68.5,5.39,10.70,9.5,1410003
0001,2018/05/01 14:00:00,10,-9.27,16.49,2.6,32.02,1.51,37.6,3.02,10.70,9.5,1410003
0001,2018/05/01 14:00:00,11,-9.97,16.50,2.7,32.05,1.76,36.9,2.96,10.70,9.5,1410003
