STATION0,DATE & TIME,SEQ_NO,DEPTH(m.DL),TEMP(deg),Chl-a(ug/l),SAL(psu),SS(mg/l),DO(%),DO(mg/l),BOTTOM(m),VOLT(V),STATUS
0001,2013/01/01 00:00:00,0,-0.37,10.39,3.2,29.88,2.82,98.3,9.09,10.10,9.6,0000000
0001,2013/01/01 00:00:00,1,-0.87,10.43,3.4,29.99,2.77,98.2,9.06,10.10,9.6,0000000
0001,2013/01/01 00:00:00,2,-1.87,10.42,4.6,30.72,2.04,98.4,9.04,10.10,9.6,0000000
0001,2013/01/01 00:00:00,3,-2.87,10.41,5.7,31.34,1.67,98.3,9.00,10.10,9.6,0000000
0001,2013/01/01 00:00:00,4,-3.87,10.47,5.9,31.50,1.61,97.1,8.87,10.10,9.6,0000000
0001,2013/01/01 00:00:00,5,-4.87,10.41,5.7,31.85,1.09,96.1,8.77,10.10,9.6,0000000
0001,2013/01/01 00:00:00,6,-5.87,10.42,6.3,31.89,1.19,96.3,8.78,10.10,9.6,0000000
0001,2013/01/01 00:00:00,7,-6.87,10.44,6.0,31.91,1.10,96.1,8.76,10.10,9.6,0000000
0001,2013/01/01 00:00:00,8,-7.87,10.53,5.2,32.01,0.96,95.1,8.65,10.10,9.6,0000000
0001,2013/01/01 00:00:00,9,-8.87,10.62,4.3,32.12,1.01,91.5,8.30,10.10,9.6,0000000
0001,2013/01/01 00:00:00,10,-9.87,10.65,3.0,32.19,1.05,89.6,8.12,10.10,9.6,0000000
0001,2013/01/01 00:00:00,11,-9.97,10.65,3.2,32.19,2.37,89.4,8.10,10.10,9.6,0000000
0001,2013/01/01 01:00:00,0,-0.47,10.20,3.3,30.06,2.54,97.9,9.08,10.00,9.6,0000000
0001,2013/01/01 01:00:00,1,-0.97,10.24,3.2,30.18,2.52,97.9,9.06,10.00,9.6,0000000
0001,2013/01/01 01:00:00,2,-1.97,10.38,5.2,31.13,1.77,98.0,8.99,10.00,9.6,0000000
0001,2013/01/01 01:00:00,3,-2.97,10.41,5.3,31.34,1.57,98.1,8.98,10.00,9.6,0000000
0001,2013/01/01 01:00:00,4,-3.97,10.48,5.9,31.68,1.45,96.0,8.75,10.00,9.6,0000000
0001,2013/01/01 01:00:00,5,-4.97,10.42,6.1,31.84,1.10,96.4,8.80,10.00,9.6,0000000
0001,2013/01/01 01:00:00,6,-5.97,10.42,6.9,31.87,1.13,96.2,8.77,10.00,9.6,0000000
0001,2013/01/01 01:00:00,7,-6.97,10.50,5.2,32.04,1.00,94.2,8.57,10.00,9.6,0000000
0001,2013/01/01 01:00:00,8,-7.97,10.51,4.5,32.13,0.82,92.8,8.44,10.00,9.6,0000000
0001,2013/01/01 01:00:00,9,-8.97,10.60,3.2,32.19,1.05,89.8,8.15,10.00,9.6,0000000
0001,2013/01/01 01:00:00,10,-9.97,10.68,3.4,32.19,4.02,88.1,7.98,10.00,9.6,0000000
0001,2013/01/01 02:00:00,0,-0.47,10.14,3.5,30.46,2.15,98.0,9.07,10.00,9.6,0000000
0001,2013/01/01 02:00:00,1,-0.97,10.22,3.9,30.70,2.00,98.1,9.06,10.00,9.6,0000000
0001,2013/01/01 02:00:00,2,-1.97,10.39,4.5,31.21,1.63,98.8,9.05,10.00,9.6,0000000
0001,2013/01/01 02:00:00,3,-2.97,10.37,4.7,31.31,1.59,98.4,9.02,10.00,9.6,0000000
0001,2013/01/01 02:00:00,4,-3.97,10.43,5.2,31.39,1.61,97.6,8.93,10.00,9.6,0000000
0001,2013/01/01 02:00:00,5,-4.97,10.42,5.4,31.65,1.35,96.7,8.83,10.00,9.6,0000000
0001,2013/01/01 02:00:00,6,-5.97,10.44,6.2,31.82,1.03,97.0,8.85,10.00,9.6,0000000
0001,2013/01/01 02:00:00,7,-6.97,10.49,5.8,31.97,1.07,95.5,8.69,10.00,9.6,0000000
0001,2013/01/01 02:00:00,8,-7.97,10.59,3.5,32.17,1.04,90.2,8.18,10.00,9.6,0000000
0001,2013/01/01 02:00:00,9,-8.97,10.62,2.8,32.20,1.04,89.3,8.09,10.00,9.6,0000000
0001,2013/01/01 02:00:00,10,-9.97,10.93,2.5,32.28,2.32,86.7,7.80,10.00,9.6,0000000
0001,2013/01/01 03:00:00,0,-0.17,10.13,3.8,30.72,1.92,98.0,9.06,10.30,9.6,0000000
0001,2013/01/01 03:00:00,1,-0.67,10.13,4.1,30.73,1.92,97.7,9.04,10.30,9.6,0000000
0001,2013/01/01 03:00:00,2,-1.67,10.31,5.0,31.16,1.62,98.3,9.03,10.30,9.6,0000000
0001,2013/01/01 03:00:00,3,-2.67,10.34,4.9,31.27,1.62,98.2,9.01,10.30,9.6,0000000
0001,2013/01/01 03:00:00,4,-3.67,10.39,5.1,31.37,1.53,97.7,8.94,10.30,9.6,0000000
0001,2013/01/01 03:00:00,5,-4.67,10.42,5.7,31.65,1.24,97.6,8.92,10.30,9.6,0000000
0001,2013/01/01 03:00:00,6,-5.67,10.52,6.0,31.86,1.08,96.7,8.81,10.30,9.6,0000000
0001,2013/01/01 03:00:00,7,-6.67,10.53,5.5,32.01,1.07,95.0,8.64,10.30,9.6,0000000
0001,2013/01/01 03:00:00,8,-7.67,10.49,4.2,32.12,0.95,92.8,8.44,10.30,9.6,0000000
0001,2013/01/01 03:00:00,9,-8.67,10.63,2.9,32.19,1.07,89.3,8.09,10.30,9.6,0000000
0001,2013/01/01 03:00:00,10,-9.67,10.76,2.7,32.24,1.16,88.8,8.02,10.30,9.6,0000000
0001,2013/01/01 03:00:00,11,-9.97,11.13,2.5,32.35,2.55,85.8,7.69,10.30,9.6,0000000
0001,2013/01/01 04:00:00,0,0.43,10.02,3.6,30.82,1.77,97.9,9.07,10.90,9.6,0000000
0001,2013/01/01 04:00:00,1,-0.07,10.05,3.8,30.86,1.76,97.7,9.04,10.90,9.6,0000000
0001,2013/01/01 04:00:00,2,-1.07,10.11,4.4,30.90,1.76,97.6,9.02,10.90,9.6,0000000
0001,2013/01/01 04:00:00,3,-2.07,10.19,4.7,31.05,1.72,97.7,9.01,10.90,9.6,0000000
0001,2013/01/01 04:00:00,4,-3.07,10.27,4.7,31.36,1.39,97.7,8.97,10.90,9.6,0000000
0001,2013/01/01 04:00:00,5,-4.07,10.41,5.0,31.62,1.26,97.8,8.93,10.90,9.6,0000000
0001,2013/01/01 04:00:00,6,-5.07,10.58,6.1,31.86,1.05,97.1,8.83,10.90,9.6,0000000
0001,2013/01/01 04:00:00,7,-6.07,10.61,5.4,32.00,1.01,95.4,8.66,10.90,9.6,0000000
0001,2013/01/01 04:00:00,8,-7.07,10.74,4.7,32.08,1.01,94.5,8.55,10.90,9.6,0000000
0001,2013/01/01 04:00:00,9,-8.07,10.53,3.4,32.15,1.02,92.5,8.41,10.90,9.6,0000000
0001,2013/01/01 04:00:00,10,-9.07,10.83,2.6,32.24,1.09,89.5,8.07,10.90,9.6,0000000
0001,2013/01/01 04:00:00,11,-9.97,11.20,2.4,32.37,2.66,85.6,7.66,10.90,9.6,0000000
0001,2013/01/01 05:00:00,0,0.83,10.01,3.6,30.93,1.64,98.0,9.07,11.30,9.6,0000000
0001,2013/01/01 05:00:00,1,0.33,10.03,3.7,30.93,1.65,97.8,9.05,11.30,9.6,0000000
0001,2013/01/01 05:00:00,2,-0.67,10.05,4.2,30.95,1.66,97.5,9.02,11.30,9.6,0000000
0001,2013/01/01 05:00:00,3,-1.67,10.08,4.9,31.16,1.56,97.6,9.01,11.30,9.6,0000000
0001,2013/01/01 05:00:00,4,-2.67,10.05,4.4,31.20,1.47,97.8,9.03,11.30,9.6,0000000
0001,2013/01/01 05:00:00,5,-3.67,10.53,6.2,31.77,1.15,98.4,8.96,11.30,9.6,0000000
0001,2013/01/01 05:00:00,6,-4.67,10.73,6.2,31.94,1.12,96.4,8.73,11.30,9.6,0000000
0001,2013/01/01 05:00:00,7,-5.67,10.73,5.6,31.98,1.02,95.7,8.66,11.30,9.6,0000000
0001,2013/01/01 05:00:00,8,-6.67,10.70,4.2,32.09,0.91,94.0,8.51,11.30,9.6,0000000
0001,2013/01/01 05:00:00,9,-7.67,10.57,3.4,32.15,0.93,93.1,8.45,11.30,9.6,0000000
0001,2013/01/01 05:00:00,10,-8.67,11.20,2.5,32.36,1.25,87.4,7.82,11.30,9.6,0000000
0001,2013/01/01 05:00:00,11,-9.67,11.28,2.3,32.38,1.39,86.2,7.69,11.30,9.6,0000000
0001,2013/01/01 05:00:00,12,-9.97,11.29,2.4,32.38,2.51,85.8,7.66,11.30,9.6,0000000
0001,2013/01/01 06:00:00,0,0.93,9.90,3.8,31.06,1.48,97.7,9.06,11.40,9.6,0000000
0001,2013/01/01 06:00:00,1,0.43,9.90,3.8,31.05,1.50,97.6,9.05,11.40,9.6,0000000
0001,2013/01/01 06:00:00,2,-0.57,9.93,4.0,31.09,1.47,97.6,9.05,11.40,9.6,0000000
0001,2013/01/01 06:00:00,3,-1.57,9.99,4.7,31.25,1.43,97.8,9.04,11.40,9.6,0000000
0001,2013/01/01 06:00:00,4,-2.57,10.02,5.0,31.32,1.31,97.9,9.04,11.40,9.6,0000000
0001,2013/01/01 06:00:00,5,-3.57,10.26,5.7,31.62,1.08,98.8,9.06,11.40,9.6,0000000
0001,2013/01/01 06:00:00,6,-4.57,10.79,5.7,31.98,1.04,95.9,8.68,11.40,9.6,0000000
0001,2013/01/01 06:00:00,7,-5.57,10.89,5.4,32.05,1.07,94.7,8.54,11.40,9.6,0000000
0001,2013/01/01 06:00:00,8,-6.57,10.89,4.2,32.13,0.96,93.8,8.46,11.40,9.6,0000000
0001,2013/01/01 06:00:00,9,-7.57,11.09,2.9,32.28,0.93,91.5,8.20,11.40,9.6,0000000
0001,2013/01/01 06:00:00,10,-8.57,11.37,2.3,32.40,1.26,86.9,7.74,11.40,9.6,0000000
0001,2013/01/01 06:00:00,11,-9.57,11.40,2.3,32.41,1.52,86.0,7.65,11.40,9.6,0000000
0001,2013/01/01 06:00:00,12,-9.97,11.39,2.4,32.40,2.62,85.6,7.62,11.40,9.6,0000000
0001,2013/01/01 07:00:00,0,1.13,9.81,4.4,31.18,1.34,98.0,9.10,11.60,9.6,0000000
0001,2013/01/01 07:00:00,1,0.63,9.82,4.3,31.18,1.32,97.9,9.09,11.60,9.6,0000000
0001,2013/01/01 07:00:00,2,-0.37,9.84,4.5,31.19,1.36,97.7,9.07,11.60,9.6,0000000
0001,2013/01/01 07:00:00,3,-1.37,9.91,5.4,31.26,1.35,97.8,9.06,11.60,9.6,0000000
0001,2013/01/01 07:00:00,4,-2.37,10.10,5.6,31.42,1.23,97.9,9.03,11.60,9.6,0000000
0001,2013/01/01 07:00:00,5,-3.37,10.16,5.9,31.55,1.19,98.4,9.05,11.60,9.6,0000000
0001,2013/01/01 07:00:00,6,-4.37,10.72,6.7,31.94,1.06,96.6,8.75,11.60,9.6,0000000
0001,2013/01/01 07:00:00,7,-5.37,10.97,5.3,32.10,1.03,94.2,8.48,11.60,9.6,0000000
0001,2013/01/01 07:00:00,8,-6.37,11.18,3.5,32.25,0.94,92.2,8.25,11.60,9.6,0000000
0001,2013/01/01 07:00:00,9,-7.37,11.35,2.8,32.36,1.03,89.3,7.95,11.60,9.6,0000000
0001,2013/01/01 07:00:00,10,-8.37,11.37,2.5,32.39,1.40,86.2,7.67,11.60,9.6,0000000
0001,2013/01/01 07:00:00,11,-9.37,11.37,2.6,32.40,1.53,85.8,7.64,11.60,9.6,0000000
0001,2013/01/01 07:00:00,12,-9.97,11.38,2.7,32.39,2.75,85.4,7.61,11.60,9.6,0000000
0001,2013/01/01 08:00:00,0,1.03,9.79,3.3,31.14,1.40,98.6,9.16,11.50,9.6,0000000
0001,2013/01/01 08:00:00,1,0.53,9.81,3.8,31.16,1.36,98.4,9.14,11.50,9.6,0000000
0001,2013/01/01 08:00:00,2,-0.47,9.83,4.4,31.17,1.37,98.1,9.11,11.50,9.6,0000000
0001,2013/01/01 08:00:00,3,-1.47,9.98,5.5,31.39,1.26,98.5,9.10,11.50,9.6,0000000
0001,2013/01/01 08:00:00,4,-2.47,10.08,5.5,31.48,1.17,98.4,9.06,11.50,9.6,0000000
0001,2013/01/01 08:00:00,5,-3.47,10.39,6.5,31.72,1.05,98.2,8.98,11.50,9.6,0000000
0001,2013/01/01 08:00:00,6,-4.47,10.51,6.2,31.82,1.09,97.5,8.88,11.50,9.6,0000000
0001,2013/01/01 08:00:00,7,-5.47,10.79,5.8,32.02,1.04,95.4,8.62,11.50,9.6,0000000
0001,2013/01/01 08:00:00,8,-6.47,11.01,4.7,32.13,0.96,93.6,8.41,11.50,9.6,0000000
0001,2013/01/01 08:00:00,9,-7.47,11.30,3.5,32.30,0.92,91.0,8.12,11.50,9.6,0000000
0001,2013/01/01 08:00:00,10,-8.47,11.36,2.8,32.38,1.20,87.4,7.78,11.50,9.6,0000000
0001,2013/01/01 08:00:00,11,-9.47,11.37,2.5,32.39,1.40,86.1,7.67,11.50,9.6,0000000
0001,2013/01/01 08:00:00,12,-9.97,11.37,2.6,32.38,2.56,85.4,7.61,11.50,9.6,0000000
0001,2013/01/01 09:00:00,0,0.83,9.82,2.2,30.98,1.55,99.3,9.23,11.30,9.6,0000000
0001,2013/01/01 09:00:00,1,0.33,9.82,3.0,30.99,1.54,99.0,9.21,11.30,9.6,0000000
0001,2013/01/01 09:00:00,2,-0.67,9.84,4.3,31.12,1.49,99.1,9.20,11.30,9.6,0000000
0001,2013/01/01 09:00:00,3,-1.67,9.87,4.8,31.17,1.53,98.9,9.17,11.30,9.6,0000000
0001,2013/01/01 09:00:00,4,-2.67,9.89,5.2,31.24,1.40,98.8,9.15,11.30,9.6,0000000
0001,2013/01/01 09:00:00,5,-3.67,9.94,6.0,31.48,1.18,98.8,9.13,11.30,9.6,0000000
0001,2013/01/01 09:00:00,6,-4.67,10.85,4.7,32.03,1.03,94.9,8.57,11.30,9.6,0000000
0001,2013/01/01 09:00:00,7,-5.67,10.84,5.6,32.01,0.95,95.4,8.62,11.30,9.6,0000000
0001,2013/01/01 09:00:00,8,-6.67,10.93,4.7,32.07,0.99,94.6,8.52,11.30,9.6,0000000
0001,2013/01/01 09:00:00,9,-7.67,11.23,3.7,32.25,0.96,91.6,8.19,11.30,9.6,0000000
