STATION,DATE & TIME,SEQ_NO,DEPTH(m.DL),V-E(cm/s),V-N(cm/s),V-UD(cm/s),R-E( ),R-N( ),R-UD( ),BOTTOM(m),VOLT(V),STATUS
0001,2013/07/07 11:00:00,1,-10.60,10.3,10.6,-2,119,117,121,2.09,9.8,00016
0001,2013/07/07 11:00:00,2,-9.60,4.5,6.9,-0.1,106,108,108,2.09,9.8,00016
0001,2013/07/07 11:00:00,3,-8.60,-4.1,3.6,-0.8,95,97,102,2.09,9.8,00016
0001,2013/07/07 11:00:00,4,-7.60,-8.6,2.1,0.1,87,87,92,2.09,9.8,00016
0001,2013/07/07 11:00:00,5,-6.60,-5.1,7.4,0.2,88,85,91,2.09,9.8,00016
0001,2013/07/07 11:00:00,6,-5.60,-2.2,1.3,0.7,87,92,88,2.09,9.8,00016
0001,2013/07/07 11:00:00,7,-4.60,1.1,-1.3,0.2,98,104,86,2.09,9.8,00016
0001,2013/07/07 11:00:00,8,-3.60,2.2,-9.2,-0.6,113,104,84,2.09,9.8,00016
0001,2013/07/07 11:00:00,9,-2.60,2.5,-10.6,0.2,124,121,101,2.09,9.8,00016
0001,2013/07/07 11:00:00,10,-1.60,11.2,-9.1,2.5,161,172,129,2.09,9.8,00016
0001,2013/07/07 12:00:00,1,-10.60,7.5,11.4,-0.7,114,113,115,1.98,9.8,00016
0001,2013/07/07 12:00:00,2,-9.60,5.6,10.6,-1.2,102,104,101,1.98,9.8,00016
0001,2013/07/07 12:00:00,3,-8.60,-4.1,6.5,-2.5,94,95,94,1.98,9.8,00016
0001,2013/07/07 12:00:00,4,-7.60,-2.8,7.5,0.9,84,82,86,1.98,9.8,00016
0001,2013/07/07 12:00:00,5,-6.60,0,4.3,0.4,80,79,79,1.98,9.8,00016
0001,2013/07/07 12:00:00,6,-5.60,1.4,4.7,-0.8,83,81,79,1.98,9.8,00016
0001,2013/07/07 12:00:00,7,-4.60,1.7,-2.2,-0.4,88,82,79,1.98,9.8,00016
0001,2013/07/07 12:00:00,8,-3.60,0.1,-2.4,1.2,119,78,80,1.98,9.8,00016
0001,2013/07/07 12:00:00,9,-2.60,3.7,-7.4,2.8,124,92,85,1.98,9.8,00016
0001,2013/07/07 12:00:00,10,-1.60,3.4,-9.2,1.5,148,162,107,1.98,9.8,00016
0001,2013/07/07 13:00:00,1,-10.60,9.9,10.9,-1.1,116,115,117,-1.03,9.8,00016
0001,2013/07/07 13:00:00,2,-9.60,14.2,9.8,-1.6,99,99,102,-1.03,9.8,00016
0001,2013/07/07 13:00:00,3,-8.60,10,11.1,-3.3,92,94,93,-1.03,9.8,00016
0001,2013/07/07 13:00:00,4,-7.60,3.9,11.3,-1.7,83,95,81,-1.03,9.8,00016
0001,2013/07/07 13:00:00,5,-6.60,0.3,9.4,0.2,74,86,72,-1.03,9.8,00016
0001,2013/07/07 13:00:00,6,-5.60,2.3,9.9,-0.2,76,80,75,-1.03,9.8,00016
0001,2013/07/07 13:00:00,7,-4.60,3.2,4.4,0.1,79,76,78,-1.03,9.8,00016
0001,2013/07/07 13:00:00,8,-3.60,-3,-10.3,0,89,76,91,-1.03,9.8,00016
0001,2013/07/07 13:00:00,9,-2.60,-2.5,-13.5,0,114,100,109,-1.03,9.8,00016
0001,2013/07/07 13:00:00,10,-1.60,0.3,-6.1,1.4,136,153,125,-1.03,9.8,00016
0001,2013/07/07 14:00:00,1,-10.60,1.9,14.1,-2,113,112,114,2.26,9.8,00016
0001,2013/07/07 14:00:00,2,-9.60,9.4,17.1,-0.9,100,99,99,2.26,9.8,00016
0001,2013/07/07 14:00:00,3,-8.60,10,17.9,-2.2,95,95,93,2.26,9.8,00016
0001,2013/07/07 14:00:00,4,-7.60,5.6,16.8,-2.1,92,105,87,2.26,9.8,00016
0001,2013/07/07 14:00:00,5,-6.60,1.9,14.9,-1.2,86,107,80,2.26,9.8,00016
0001,2013/07/07 14:00:00,6,-5.60,1.9,13.4,-0.7,84,95,76,2.26,9.8,00016
0001,2013/07/07 14:00:00,7,-4.60,-3.6,4.5,-3.1,77,83,75,2.26,9.8,00016
0001,2013/07/07 14:00:00,8,-3.60,-5.4,-1.1,-1.5,83,107,79,2.26,9.8,00016
0001,2013/07/07 14:00:00,9,-2.60,-1.4,-10.9,0,123,132,114,2.26,9.8,00016
0001,2013/07/07 14:00:00,10,-1.60,-1.1,-8.4,-1,140,150,134,2.26,9.8,00016
0001,2013/07/07 15:00:00,1,-10.60,9.9,11.6,-1.9,113,111,114,3.76,9.8,00016
0001,2013/07/07 15:00:00,2,-9.60,13.8,12.8,-0.4,101,100,102,3.76,9.8,00016
0001,2013/07/07 15:00:00,3,-8.60,6.9,18.7,-1.1,96,94,95,3.76,9.8,00016
0001,2013/07/07 15:00:00,4,-7.60,2.3,13.3,-2,88,86,88,3.76,9.8,00016
0001,2013/07/07 15:00:00,5,-6.60,5.3,11.4,0,86,83,81,3.76,9.8,00016
0001,2013/07/07 15:00:00,6,-5.60,4.1,4.7,1,81,80,76,3.76,9.8,00016
0001,2013/07/07 15:00:00,7,-4.60,4.7,3,0.4,76,75,77,3.76,9.8,00016
0001,2013/07/07 15:00:00,8,-3.60,1.1,3,-0.4,70,80,85,3.76,9.8,00016
0001,2013/07/07 15:00:00,9,-2.60,-4.8,-6.3,-0.4,74,110,108,3.76,9.8,00016
0001,2013/07/07 15:00:00,10,-1.60,-0.2,-12.1,0.8,98,117,120,3.76,9.8,00016
0001,2013/07/07 16:00:00,1,-10.60,7.7,9.6,-1.3,113,111,114,4.14,9.8,00016
0001,2013/07/07 16:00:00,2,-9.60,6.7,6.4,-1.2,99,100,98,4.14,9.8,00016
0001,2013/07/07 16:00:00,3,-8.60,7.8,10.9,-0.2,92,90,94,4.14,9.8,00016
0001,2013/07/07 16:00:00,4,-7.60,11.9,14,-2.9,87,84,94,4.14,9.8,00016
0001,2013/07/07 16:00:00,5,-6.60,12.2,16.2,-3.8,85,82,86,4.14,9.8,00016
