STATION,DATE & TIME,SEQ_NO,DEPTH(m.DL),V-E(cm/s),V-N(cm/s),V-UD(cm/s),R-E( ),R-N( ),R-UD( ),BOTTOM(m),VOLT(V),STATUS
0001,2006/07/01 00:00:00,1,-10.60,14.5,27.9,-9,33,38,41,11.97,9.7,00016
0001,2006/07/01 00:00:00,2,-9.60,25.8,39.5,-22.6,29,32,33,11.97,9.7,00016
0001,2006/07/01 00:00:00,3,-8.60,5.7,50.5,-7.8,28,28,27,11.97,9.7,00016
0001,2006/07/01 00:00:00,4,-7.60,30,43.2,-23.8,28,30,252,11.97,9.7,00016
0001,2006/07/01 00:00:00,5,-6.60,19.4,33.4,-12.5,28,31,172,11.97,9.7,00016
0001,2006/07/01 00:00:00,6,-5.60,16.8,8.2,-1.1,31,42,122,11.97,9.7,00016
0001,2006/07/01 00:00:00,7,-4.60,26.1,2.4,1.1,32,47,223,11.97,9.7,00016
0001,2006/07/01 00:00:00,8,-3.60,1.5,4.9,-1.5,30,45,79,11.97,9.7,00016
0001,2006/07/01 00:00:00,9,-2.60,-1.2,2.1,0.6,30,43,255,11.97,9.7,00016
0001,2006/07/01 00:00:00,10,-1.60,-2.3,-0.7,2.4,46,54,255,11.97,9.7,00016
0001,2006/07/01 01:00:00,1,-10.60,-2.7,-10.6,-0.4,31,34,40,11.83,9.8,00016
0001,2006/07/01 01:00:00,2,-9.60,27.9,16.1,-18,29,30,37,11.83,9.8,00016
0001,2006/07/01 01:00:00,3,-8.60,24,28.9,-23.5,28,28,27,11.83,9.8,00016
0001,2006/07/01 01:00:00,4,-7.60,12.6,35.5,-15.6,28,28,252,11.83,9.8,00016
0001,2006/07/01 01:00:00,5,-6.60,10.4,51.4,-17.9,28,29,172,11.83,9.8,00016
0001,2006/07/01 01:00:00,6,-5.60,35.8,12.8,-1.2,31,40,122,11.83,9.8,00016
0001,2006/07/01 01:00:00,7,-4.60,12.9,-0.7,1,35,40,223,11.83,9.8,00016
0001,2006/07/01 01:00:00,8,-3.60,2.5,-2.8,-0.8,33,44,79,11.83,9.8,00016
0001,2006/07/01 01:00:00,9,-2.60,5.9,2.2,-1,34,48,255,11.83,9.8,00016
0001,2006/07/01 01:00:00,10,-1.60,1.7,6.3,2.8,49,59,255,11.83,9.8,00016
0001,2006/07/01 02:00:00,1,-10.60,25.1,9.9,-4.6,30,32,37,11.77,9.8,00016
0001,2006/07/01 02:00:00,2,-9.60,27.3,25.2,-20.4,29,28,34,11.77,9.8,00016
0001,2006/07/01 02:00:00,3,-8.60,24.1,10.2,-23.9,28,28,27,11.77,9.8,00016
0001,2006/07/01 02:00:00,4,-7.60,16.7,-15.4,-5.9,29,32,252,11.77,9.8,00016
0001,2006/07/01 02:00:00,5,-6.60,13.3,19.7,-10,29,33,172,11.77,9.8,00016
0001,2006/07/01 02:00:00,6,-5.60,-20.4,9.8,1.2,31,36,122,11.77,9.8,00016
0001,2006/07/01 02:00:00,7,-4.60,-2.1,2.5,2.3,38,42,223,11.77,9.8,00016
0001,2006/07/01 02:00:00,8,-3.60,5.1,6.3,-1,36,46,79,11.77,9.8,00016
0001,2006/07/01 02:00:00,9,-2.60,2.6,0.1,0.7,35,46,255,11.77,9.8,00016
0001,2006/07/01 02:00:00,10,-1.60,2.9,6,1.6,48,56,255,11.77,9.8,00016
0001,2006/07/01 03:00:00,1,-10.60,11.3,12.1,-4.3,29,32,37,11.85,9.8,00016
0001,2006/07/01 03:00:00,2,-9.60,31.4,22.2,-10.2,28,29,31,11.85,9.8,00016
0001,2006/07/01 03:00:00,3,-8.60,-5.7,22.2,-4.1,28,28,27,11.85,9.8,00016
0001,2006/07/01 03:00:00,4,-7.60,4.7,41.7,-13.1,28,28,252,11.85,9.8,00016
0001,2006/07/01 03:00:00,5,-6.60,19.5,7.3,-7,28,31,172,11.85,9.8,00016
0001,2006/07/01 03:00:00,6,-5.60,13.4,0.5,1.1,30,38,122,11.85,9.8,00016
0001,2006/07/01 03:00:00,7,-4.60,9.7,2,-1.4,32,41,223,11.85,9.8,00016
0001,2006/07/01 03:00:00,8,-3.60,7.8,8.1,-0.9,30,44,79,11.85,9.8,00016
0001,2006/07/01 03:00:00,9,-2.60,0.1,2.1,1.5,32,49,255,11.85,9.8,00016
0001,2006/07/01 03:00:00,10,-1.60,-1.7,4.8,2.3,50,59,255,11.85,9.8,00016
0001,2006/07/01 04:00:00,1,-10.60,35,48.9,-22.2,28,31,35,11.99,9.7,00016
0001,2006/07/01 04:00:00,2,-9.60,27.9,20.7,-21.4,28,28,31,11.99,9.7,00016
0001,2006/07/01 04:00:00,3,-8.60,25.2,7,-16.7,28,28,27,11.99,9.7,00016
