STATION0,DATE & TIME,SEQ_NO,DEPTH(m.DL),TEMP(deg),Chl-a(ug/l),SAL(psu),SS(mg/l),DO(%),DO(mg/l),BOTTOM(m),VOLT(V),STATUS
0001,2017/07/05 13:00:00,0,0.73,27.39,20.4,28.97,7.76,218.2,14.64,11.20,9.5,0000000
0001,2017/07/05 13:00:00,1,0.23,25.43,45.0,29.43,16.68,151.3,10.47,11.20,9.5,0000000
0001,2017/07/05 13:00:00,2,-0.77,24.76,8.4,29.67,3.57,120.1,8.39,11.20,9.5,0000000
0001,2017/07/05 13:00:00,3,-1.77,24.42,6.6,29.81,2.83,107.3,7.54,11.20,9.5,0000000
0001,2017/07/05 13:00:00,4,-2.77,23.17,5.2,30.22,2.17,86.2,6.18,11.20,9.5,0000000
0001,2017/07/05 13:00:00,5,-3.77,22.96,5.3,30.34,2.19,82.2,5.91,11.20,9.5,0000000
0001,2017/07/05 13:00:00,6,-4.77,22.77,4.9,30.45,2.18,75.7,5.45,11.20,9.5,0000000
0001,2017/07/05 13:00:00,7,-5.77,22.04,4.3,30.85,2.41,52.4,3.82,11.20,9.5,0000000
0001,2017/07/05 13:00:00,8,-6.77,21.66,4.1,31.04,2.79,40.2,2.94,11.20,9.5,0000000
0001,2017/07/05 13:00:00,9,-7.77,21.50,2.7,31.15,2.09,38.2,2.80,11.20,9.5,0000000
0001,2017/07/05 13:00:00,10,-8.77,20.84,2.4,31.67,2.07,28.6,2.12,11.20,9.5,0000000
0001,2017/07/05 13:00:00,11,-9.77,20.36,1.8,32.21,1.66,22.0,1.64,11.20,9.5,0000000
0001,2017/07/05 13:00:00,12,-9.97,19.99,1.6,32.48,5.47,18.4,1.38,11.20,9.5,0000000
0001,2017/07/05 14:00:00,0,1.13,27.56,7.4,29.01,4.04,217.0,14.52,11.60,9.5,0000000
0001,2017/07/05 14:00:00,1,0.63,25.62,15.3,29.39,5.98,154.9,10.68,11.60,9.5,0000000
0001,2017/07/05 14:00:00,2,-0.37,24.69,8.7,29.52,3.95,127.2,8.91,11.60,9.5,0000000
0001,2017/07/05 14:00:00,3,-1.37,24.39,6.5,29.77,3.04,115.7,8.13,11.60,9.5,0000000
0001,2017/07/05 14:00:00,4,-2.37,23.81,5.5,29.97,2.40,103.8,7.36,11.60,9.5,0000000
0001,2017/07/05 14:00:00,5,-3.37,23.14,4.7,30.22,2.07,86.8,6.22,11.60,9.5,0000000
0001,2017/07/05 14:00:00,6,-4.37,22.13,4.5,30.75,2.29,54.7,3.98,11.60,9.5,0000000
0001,2017/07/05 14:00:00,7,-5.37,21.90,4.2,30.91,2.46,47.8,3.49,11.60,9.5,0000000
0001,2017/07/05 14:00:00,8,-6.37,21.69,2.8,31.05,2.23,38.4,2.81,11.60,9.5,0000000
0001,2017/07/05 14:00:00,9,-7.37,21.50,2.5,31.15,2.16,34.5,2.54,11.60,9.5,0000000
0001,2017/07/05 14:00:00,10,-8.37,20.99,2.1,31.51,1.87,32.2,2.38,11.60,9.5,0000000
0001,2017/07/05 14:00:00,11,-9.37,20.56,2.0,32.09,1.72,26.9,2.00,11.60,9.5,0000000
0001,2017/07/05 14:00:00,12,-9.97,19.86,1.3,32.53,5.05,16.5,1.24,11.60,9.5,0000000
0001,2017/07/05 15:00:00,0,1.13,26.95,42.7,29.13,15.29,214.3,14.47,11.60,9.5,0000000
0001,2017/07/05 15:00:00,1,0.63,26.99,42.5,29.12,15.48,216.2,14.59,11.60,9.5,0000000
0001,2017/07/05 15:00:00,2,-0.37,26.23,40.2,29.29,14.79,184.4,12.59,11.60,9.5,0000000
0001,2017/07/05 15:00:00,3,-1.37,24.24,10.1,29.84,3.81,114.9,8.10,11.60,9.5,0000000
0001,2017/07/05 15:00:00,4,-2.37,23.78,5.9,29.98,2.49,100.8,7.15,11.60,9.5,0000000
0001,2017/07/05 15:00:00,5,-3.37,23.19,4.2,30.23,2.06,87.1,6.24,11.60,9.5,0000000
0001,2017/07/05 15:00:00,6,-4.37,22.98,3.9,30.32,2.01,82.2,5.90,11.60,9.5,0000000
0001,2017/07/05 15:00:00,7,-5.37,21.62,3.5,30.98,2.48,32.7,2.40,11.60,9.5,0000000
0001,2017/07/05 15:00:00,8,-6.37,21.55,2.6,31.07,2.28,35.1,2.57,11.60,9.5,0000000
0001,2017/07/05 15:00:00,9,-7.37,21.05,2.2,31.46,1.97,33.5,2.48,11.60,9.5,0000000
