STATION,DATE & TIME,SEQ_NO,DEPTH(m.DL),V-E(cm/s),V-N(cm/s),V-UD(cm/s),R-E( ),R-N( ),R-UD( ),BOTTOM(m),VOLT(V),STATUS
0001,2009/01/01 00:00:00,1,-10.60,-1.6,-8.4,-1,122,121,121,11.76,9.9,00016
0001,2009/01/01 00:00:00,2,-9.60,-1.2,-9,-0.9,110,108,106,11.76,9.9,00016
0001,2009/01/01 00:00:00,3,-8.60,0,-9.9,-1.7,102,97,100,11.76,9.9,00016
0001,2009/01/01 00:00:00,4,-7.60,0.7,-3.5,0.2,94,90,93,11.76,9.9,00016
0001,2009/01/01 00:00:00,5,-6.60,-2.5,-3.8,-0.1,91,92,89,11.76,9.9,00016
0001,2009/01/01 00:00:00,6,-5.60,-4.3,-4.6,0.5,87,91,90,11.76,9.9,00016
0001,2009/01/01 00:00:00,7,-4.60,-6.6,-3.2,1.1,80,106,80,11.76,9.9,00016
0001,2009/01/01 00:00:00,8,-3.60,-6.3,-0.7,-1.8,74,115,82,11.76,9.9,00016
0001,2009/01/01 00:00:00,9,-2.60,-4.4,-5.8,-1.1,78,124,98,11.76,9.9,00016
0001,2009/01/01 00:00:00,10,-1.60,-3.6,-11.3,0.1,133,138,127,11.76,9.9,00016
0001,2009/01/01 01:00:00,1,-10.60,-1.8,-3.3,-0.9,133,131,134,11.65,9.9,00016
0001,2009/01/01 01:00:00,2,-9.60,-2.4,-4.3,-0.3,117,115,116,11.65,9.9,00016
0001,2009/01/01 01:00:00,3,-8.60,0,-6.2,-0.2,106,105,108,11.65,9.9,00016
0001,2009/01/01 01:00:00,4,-7.60,0.9,-10.4,-0.2,103,98,98,11.65,9.9,00016
0001,2009/01/01 01:00:00,5,-6.60,-1.9,-9.8,0,101,91,89,11.65,9.9,00016
0001,2009/01/01 01:00:00,6,-5.60,0.3,-7,0.5,101,88,84,11.65,9.9,00016
0001,2009/01/01 01:00:00,7,-4.60,2.2,-7,-0.6,97,89,89,11.65,9.9,00016
