STATION,DATE & TIME,V-MAX(m/s),V-AVE(m/s),D-MAX(deg),D-AVE(deg),VOLT(V),STATUS
0001,2013/05/01 00:00:00,6.2,4.6,264,264,11.5,00
0001,2013/05/01 00:15:00,5.4,4.2,271,272,11.5,00
0001,2013/05/01 00:30:00,4.0,2.4,275,264,11.5,00
0001,2013/05/01 00:45:00,2.7,2.0,262,255,11.5,00
0001,2013/05/01 01:00:00,8.7,3.2,344,307,11.5,00
0001,2013/05/01 01:15:00,9.7,7.0,351,350,11.5,00
0001,2013/05/01 01:30:00,8.2,6.4,350,354,11.5,00
0001,2013/05/01 01:45:00,6.6,5.2,355,354,11.5,00
0001,2013/05/01 02:00:00,6.8,4.8,344,350,11.5,00
0001,2013/05/01 02:15:00,5.7,4.6,345,348,11.5,00
0001,2013/05/01 02:30:00,6.4,5.2,351,348,11.5,00
0001,2013/05/01 02:45:00,7.3,6.0,352,351,11.5,00
0001,2013/05/01 03:00:00,7.6,5.6,351,347,11.5,00
0001,2013/05/01 03:15:00,8.5,6.2,352,351,11.5,00
0001,2013/05/01 03:30:00,7.2,6.0,352,354,11.5,00
0001,2013/05/01 03:45:00,7.5,5.6,357,354,11.5,00
0001,2013/05/01 04:00:00,8.3,6.8,351,351,11.5,00
0001,2013/05/01 04:15:00,9.1,7.0,352,354,11.5,00
0001,2013/05/01 04:30:00,9.4,7.2,352,354,11.5,00
0001,2013/05/01 04:45:00,9.6,7.2,351,352,11.5,00
0001,2013/05/01 05:00:00,9.7,7.4,352,351,11.5,00
0001,2013/05/01 05:15:00,11.1,8.5,348,350,11.5,00
0001,2013/05/01 05:30:00,11.4,8.8,348,347,11.5,00
0001,2013/05/01 05:45:00,11.8,9.4,350,348,11.5,00
0001,2013/05/01 06:00:00,12.1,9.2,348,350,11.5,00
0001,2013/05/01 06:15:00,11.8,9.2,350,350,11.5,00
0001,2013/05/01 06:30:00,13.2,10.0,348,348,11.5,00
0001,2013/05/01 06:45:00,14.6,10.4,351,350,11.5,00
0001,2013/05/01 07:00:00,12.0,9.0,351,352,11.5,00
0001,2013/05/01 07:15:00,12.0,8.4,350,347,11.5,00
0001,2013/05/01 07:30:00,11.9,7.8,351,347,11.5,00
0001,2013/05/01 07:45:00,14.1,9.4,355,354,11.5,00
0001,2013/05/01 08:00:00,12.0,9.2,352,354,11.5,00
0001,2013/05/01 08:15:00,12.9,9.6,354,352,11.5,00
0001,2013/05/01 08:30:00,13.4,9.2,354,351,11.5,00
0001,2013/05/01 08:45:00,11.8,8.4,352,351,11.5,00
0001,2013/05/01 09:00:00,11.8,8.8,355,354,11.5,00
0001,2013/05/01 09:15:00,13.0,9.0,355,354,11.5,00
0001,2013/05/01 09:30:00,11.9,8.2,355,354,11.5,00
0001,2013/05/01 09:45:00,10.3,7.0,352,350,11.5,00
0001,2013/05/01 10:00:00,10.1,7.2,348,348,11.5,00
0001,2013/05/01 10:15:00,9.9,7.8,348,350,11.5,00
0001,2013/05/01 10:30:00,9.9,7.4,352,350,11.5,00
0001,2013/05/01 10:45:00,11.8,8.6,354,350,11.5,00
0001,2013/05/01 11:00:00,12.3,8.0,351,351,11.5,00
0001,2013/05/01 11:15:00,12.6,8.8,351,352,11.5,00
0001,2013/05/01 11:30:00,12.3,9.2,354,354,11.5,00
